poll_reading_id,response_option_id,response_kind,candidate_id,candidate_name,candidate_observation_status,response_label,option_order,reported_value,share,notes
forum_w19_20260622_23_council,candidate-natalie-johnson,candidate,natalie-johnson,Natalie Johnson,individually_published,Natalie Johnson,3,16,0.16,Council and mayoral readings share one parent sample; field includes a hypothetical Erskine-Smith candidacy. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260622_23_council,other,other,,,,Other,4,5,0.05,Displayed shares sum to 99% because of source rounding; Other is not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260622_23_mayor,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,50,0.50,Dependent ward-level mayoral reading from the same sample as the Council reading. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260622_23_mayor,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,35,0.35,Dependent ward-level mayoral reading from the same sample as the Council reading. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260622_23_mayor,other,other,,,,Other,3,15,0.15,"Other is a poll response, not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w19_20260811_12_council,candidate-james-dann,candidate,james-dann,James Dann,individually_published,James Dann,1,7,0.07,Separate parent sample from June; same-firm Ward 19 replication and explicitly hypothetical field. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260811_12_council,candidate-nate-erskine-smith,candidate,nate-erskine-smith,Nate Erskine-Smith,individually_published,Nate Erskine-Smith,2,53,0.53,Separate parent sample from June; same-firm Ward 19 replication and explicitly hypothetical field. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260811_12_council,candidate-natalie-johnson,candidate,natalie-johnson,Natalie Johnson,individually_published,Natalie Johnson,3,19,0.19,Separate parent sample from June; same-firm Ward 19 replication and explicitly hypothetical field. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w19_20260811_12_council,other,other,,,,Other,4,21,0.21,"Other is a poll response, not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w11_20260812_council_current,candidate-gabe-blanc,candidate,gabe-blanc,Gabe Blanc,individually_published,Gabe Blanc,1,5,0.05,All three Ward 11 readings are dependent readings from one parent sample; no undecided percentage is explicitly published. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_current,candidate-dana-fisher,candidate,dana-fisher,Dana Fisher,individually_published,Dana Fisher,2,8,0.08,All three Ward 11 readings are dependent readings from one parent sample; no undecided percentage is explicitly published. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_current,candidate-dianne-saxe,candidate,dianne-saxe,Dianne Saxe,individually_published,Dianne Saxe,3,41,0.41,All three Ward 11 readings are dependent readings from one parent sample; no undecided percentage is explicitly published. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_current,candidate-diana-yoon,candidate,diana-yoon,Diana Yoon,individually_published,Diana Yoon,4,9,0.09,All three Ward 11 readings are dependent readings from one parent sample; no undecided percentage is explicitly published. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_current,other,other,,,,Other,5,37,0.37,"Other is a poll response, not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w11_20260812_council_layton,candidate-gabe-blanc,candidate,gabe-blanc,Gabe Blanc,individually_published,Gabe Blanc,1,6,0.06,Dependent candidate-field scenario from the same sample as the current-field and mayoral readings. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_layton,candidate-dana-fisher,candidate,dana-fisher,Dana Fisher,individually_published,Dana Fisher,2,2,0.02,Dependent candidate-field scenario from the same sample as the current-field and mayoral readings. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_layton,candidate-mike-layton,candidate,mike-layton,Mike Layton,individually_published,Mike Layton,3,44,0.44,Dependent candidate-field scenario from the same sample as the current-field and mayoral readings. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_layton,candidate-dianne-saxe,candidate,dianne-saxe,Dianne Saxe,individually_published,Dianne Saxe,4,17,0.17,Dependent candidate-field scenario from the same sample as the current-field and mayoral readings. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_layton,candidate-diana-yoon,candidate,diana-yoon,Diana Yoon,individually_published,Diana Yoon,5,5,0.05,Dependent candidate-field scenario from the same sample as the current-field and mayoral readings. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_council_layton,other,other,,,,Other,6,26,0.26,"Other is a poll response, not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
forum_w11_20260812_mayor,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,63,0.63,Dependent ward-level mayoral reading from the same sample as both Council scenarios. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_mayor,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,25,0.25,Dependent ward-level mayoral reading from the same sample as both Council scenarios. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_mayor,candidate-alexander,candidate,alexander,Chris Alexander,individually_published,Chris Alexander,3,5,0.05,Dependent ward-level mayoral reading from the same sample as both Council scenarios. option_order is published document row order only; it is not asserted to be questionnaire presentation order.
forum_w11_20260812_mayor,other,other,,,,Other,4,7,0.07,"Other is a poll response, not a candidate-tail estimate. option_order is published document row order only; it is not asserted to be questionnaire presentation order."
pallas_20250607_mayor_all,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,29.9%,0.299,
pallas_20250607_mayor_all,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,10.7%,0.107,
pallas_20250607_mayor_all,candidate-mendicino,candidate,mendicino,Marco Mendicino,individually_published,Marco Mendicino,3,8.1%,0.081,
pallas_20250607_mayor_all,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,4,19%,0.19,
pallas_20250607_mayor_all,other,other,,,,Another Candidate,5,11.4%,0.114,Published poll residual; not an Unmeasured Candidate Tail estimate.
pallas_20250607_mayor_all,undecided,undecided,,,,Undecided,6,20.8%,0.208,Published undecided response; retained separately from poll residuals.
pallas_20250607_mayor_leaning,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,31.7%,0.317,
pallas_20250607_mayor_leaning,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,12.2%,0.122,
pallas_20250607_mayor_leaning,candidate-mendicino,candidate,mendicino,Marco Mendicino,individually_published,Marco Mendicino,3,9%,0.09,
pallas_20250607_mayor_leaning,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,4,20.3%,0.203,
pallas_20250607_mayor_leaning,other,other,,,,Another Candidate,5,12.3%,0.123,Published poll residual; not an Unmeasured Candidate Tail estimate.
pallas_20250607_mayor_leaning,undecided,undecided,,,,Undecided,6,14.4%,0.144,Published undecided response; retained separately from poll residuals.
pallas_20250607_mayor_decided_leaning,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,37.1%,0.371,
pallas_20250607_mayor_decided_leaning,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,14.2%,0.142,
pallas_20250607_mayor_decided_leaning,candidate-mendicino,candidate,mendicino,Marco Mendicino,individually_published,Marco Mendicino,3,10.5%,0.105,
pallas_20250607_mayor_decided_leaning,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,4,23.6%,0.236,
pallas_20250607_mayor_decided_leaning,other,other,,,,Another Candidate,5,14.6%,0.146,Published poll residual; not an Unmeasured Candidate Tail estimate.
liaison_20250702_06_mayor_with_tory_all,candidate-bailao,candidate,bailao,Ana Bailão,individually_published,Ana Bailao,1,6%,0.06,Source spells the published name Ana Bailao. option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_all,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,7%,0.07,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_all,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,3,34%,0.34,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_all,candidate-furey,candidate,furey,Anthony Furey,individually_published,Anthony Furey,4,5%,0.05,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_all,candidate-mendicino,candidate,mendicino,Marco Mendicino,individually_published,Marco Mendicino,5,3%,0.03,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_all,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,6,31%,0.31,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_all,someone-else,other,,,,Someone Else,7,2%,0.02,"Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is document row/bar order only."
liaison_20250702_06_mayor_with_tory_all,undecided,undecided,,,,Undecided,8,12%,0.12,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_decided,candidate-bailao,candidate,bailao,Ana Bailão,individually_published,Ana Bailao,1,7%,0.07,Source spells the published name Ana Bailao. option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_decided,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,8%,0.08,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_decided,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,3,39%,0.39,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_decided,candidate-furey,candidate,furey,Anthony Furey,individually_published,Anthony Furey,4,6%,0.06,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_decided,candidate-mendicino,candidate,mendicino,Marco Mendicino,individually_published,Marco Mendicino,5,3%,0.03,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_decided,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,6,35%,0.35,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_with_tory_decided,someone-else,other,,,,Someone Else,7,2%,0.02,"Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is document bar order only."
liaison_20250702_06_mayor_without_tory_all,candidate-bailao,candidate,bailao,Ana Bailão,individually_published,Ana Bailao,1,11%,0.11,Source spells the published name Ana Bailao. option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_all,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,16%,0.16,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_all,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,3,41%,0.41,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_all,candidate-furey,candidate,furey,Anthony Furey,individually_published,Anthony Furey,4,10%,0.10,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_all,candidate-mendicino,candidate,mendicino,Marco Mendicino,individually_published,Marco Mendicino,5,3%,0.03,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_all,someone-else,other,,,,Someone Else,6,3%,0.03,"Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is document row/bar order only."
liaison_20250702_06_mayor_without_tory_all,undecided,undecided,,,,Undecided,7,16%,0.16,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_decided,candidate-bailao,candidate,bailao,Ana Bailão,individually_published,Ana Bailao,1,13%,0.13,Source spells the published name Ana Bailao. option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_decided,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,19%,0.19,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_decided,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,3,49%,0.49,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_decided,candidate-furey,candidate,furey,Anthony Furey,individually_published,Anthony Furey,4,12%,0.12,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_decided,candidate-mendicino,candidate,mendicino,Marco Mendicino,individually_published,Marco Mendicino,5,4%,0.04,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20250702_06_mayor_without_tory_decided,someone-else,other,,,,Someone Else,6,4%,0.04,"Displayed shares sum to 101% because of source rounding. Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is document bar order only."
ipsos_20250829_mayor_all,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,33%,0.33,
ipsos_20250829_mayor_all,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,2,25%,0.25,
ipsos_20250829_mayor_all,other,other,,,,Some other candidate,3,31%,0.31,Published poll residual; not an Unmeasured Candidate Tail estimate.
ipsos_20250829_mayor_all,would-not-vote,would_not_vote,,,,I wouldn’t vote,4,11%,0.11,Published nonvoter response; not recoded as undecided.
forum_20250904_mayor_primary,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,36,0.36,
forum_20250904_mayor_primary,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,2,30,0.30,
forum_20250904_mayor_primary,candidate-bailao,candidate,bailao,Ana Bailão,individually_published,Ana Bailão,3,8,0.08,
forum_20250904_mayor_primary,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,4,13,0.13,
forum_20250904_mayor_primary,other,other,,,,Other,5,13,0.13,Detailed-table residual label preserved; release prose instead calls this 13% undecided. Not an Unmeasured Candidate Tail estimate.
forum_20250904_mayor_chow_tory,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,37,0.37,
forum_20250904_mayor_chow_tory,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,2,48,0.48,
forum_20250904_mayor_chow_tory,undecided,undecided,,,,Undecided,3,15,0.15,Published undecided response; retained separately from poll residuals.
forum_20250904_mayor_chow_bradford,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,40,0.40,
forum_20250904_mayor_chow_bradford,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,2,42,0.42,
forum_20250904_mayor_chow_bradford,undecided,undecided,,,,Undecided,3,18,0.18,Published undecided response; retained separately from poll residuals.
forum_20250904_mayor_chow_bailao,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,1,40,0.40,
forum_20250904_mayor_chow_bailao,candidate-bailao,candidate,bailao,Ana Bailão,individually_published,Ana Bailão,2,34,0.34,
forum_20250904_mayor_chow_bailao,undecided,undecided,,,,Undecided,3,27,0.27,Published undecided response; retained separately from poll residuals.
canadapulse_20251006_mayor_all,candidate-chow,candidate,chow,Olivia Chow,individually_published,Mayor Olivia Chow (for re-election),1,27%,0.27,Adjacent workbook count row: 108. The media-release prose conflicts at 29%; the detailed workbook token is preserved.
canadapulse_20251006_mayor_all,candidate-tory,candidate,tory,John Tory,individually_published,Former Mayor John Tory,2,24%,0.24,Adjacent workbook count row: 97.
canadapulse_20251006_mayor_all,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Toronto Councillor Brad Bradford,3,8%,0.08,Adjacent workbook count row: 31.
canadapulse_20251006_mayor_all,candidate-furey,candidate,furey,Anthony Furey,individually_published,Journalist Anthony Furey,4,2%,0.02,Adjacent workbook count row: 10.
canadapulse_20251006_mayor_all,other,other,,,,"None of these, but possibly someone else",5,33%,0.33,Adjacent workbook count row: 136. Exact composite residual label retained as other; not an Unmeasured Candidate Tail estimate.
canadapulse_20251006_mayor_all,would-not-vote,would_not_vote,,,,"Nobody, I won't vote",6,6%,0.06,Adjacent workbook count row: 24. Published nonvoter response omitted from release prose; not recoded as undecided.
liaison_20251022_23_mayor_all,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,1,11%,0.11,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_all,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,2,38%,0.38,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_all,candidate-furey,candidate,furey,Anthony Furey,individually_published,Anthony Furey,3,6%,0.06,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_all,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,4,32%,0.32,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_all,someone-else,other,,,,Someone Else,5,3%,0.03,"Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is document row/bar order only."
liaison_20251022_23_mayor_all,undecided,undecided,,,,Undecided,6,10%,0.10,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_decided,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,1,12%,0.12,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_decided,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,2,42%,0.42,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_decided,candidate-furey,candidate,furey,Anthony Furey,individually_published,Anthony Furey,3,7%,0.07,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_decided,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,4,36%,0.36,option_order is published document bar order only; it is not asserted to be IVR presentation order.
liaison_20251022_23_mayor_decided,someone-else,other,,,,Someone Else,5,3%,0.03,"Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is document bar order only."
liaison_20251219_21_mayor_all,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,1,15%,0.15,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_all,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,2,37%,0.37,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_all,candidate-furey,candidate,furey,Anthony Furey,individually_published,Anthony Furey,3,6%,0.06,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_all,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,4,33%,0.33,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_all,someone-else,other,,,,Someone Else,5,4%,0.04,"Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is document row/bar order only."
liaison_20251219_21_mayor_all,undecided,undecided,,,,Undecided,6,6%,0.06,Displayed shares sum to 101% because of source rounding. option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_decided,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Brad Bradford,1,16%,0.16,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_decided,candidate-chow,candidate,chow,Olivia Chow,individually_published,Olivia Chow,2,39%,0.39,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_decided,candidate-furey,candidate,furey,Anthony Furey,individually_published,Anthony Furey,3,6%,0.06,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_decided,candidate-tory,candidate,tory,John Tory,individually_published,John Tory,4,35%,0.35,option_order is published document row/bar order only; it is not asserted to be IVR presentation order.
liaison_20251219_21_mayor_decided,someone-else,other,,,,Someone Else,5,4%,0.04,"Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is document row/bar order only."
liaison_20260131_0202_mayor_all,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Bradford,1,16%,0.16,option_order is published table row order only; it is not asserted to be IVR presentation order.
liaison_20260131_0202_mayor_all,candidate-chow,candidate,chow,Olivia Chow,individually_published,Chow,2,36%,0.36,option_order is published table row order only; it is not asserted to be IVR presentation order.
liaison_20260131_0202_mayor_all,candidate-furey,candidate,furey,Anthony Furey,individually_published,Furey,3,5%,0.05,option_order is published table row order only; it is not asserted to be IVR presentation order.
liaison_20260131_0202_mayor_all,candidate-tory,candidate,tory,John Tory,individually_published,Tory,4,30%,0.30,option_order is published table row order only; it is not asserted to be IVR presentation order.
liaison_20260131_0202_mayor_all,someone-else,other,,,,Someone Else,5,4%,0.04,"Someone Else is a published response, not an Unmeasured Candidate Tail estimate. option_order is table row order only."
liaison_20260131_0202_mayor_all,undecided,undecided,,,,Undecided,6,10%,0.10,Displayed shares sum to 101% because of source rounding. option_order is published table row order only; it is not asserted to be IVR presentation order.
liaison_20260131_0202_mayor_five_option,candidate-bradford,candidate,bradford,Brad Bradford,individually_published,Bradford,1,18%,0.18,option_order is published table row order only; it is not asserted to be IVR presentation order.
liaison_20260131_0202_mayor_five_option,candidate-chow,candidate,chow,Olivia Chow,individually_published,Chow,2,40%,0.40,option_order is published table row order only; it is not asserted to be IVR presentation order.
liaison_20260131_0202_mayor_five_option,candidate-furey,candidate,furey,Anthony Furey,individually_published,Furey,3,5%,0.05,option_order is published table row order only; it is not asserted to be IVR presentation order.
liaison_20260131_0202_mayor_five_option,candidate-tory,candidate,tory,John Tory,individually_published,Tory,4,33%,0.33,option_order is published table row order only; it is not asserted to be IVR presentation order.
