legacy_poll_id,election_cycle_id,legacy_sample_proxy_key,poll_sample_id,poll_reading_id,disposition,notes
toronto_2014-2013-05-13-dc2249d8,toronto_2014,toronto_2014|forum_research|2013-05-13|missing,forum_city_2013_05_10_n974,forum_2013_may13_star__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-08-29-056a657f,toronto_2014,toronto_2014|forum_research|2013-08-29|missing,forum_city_2013_08_29_n848,forum_2013_aug29_release__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-08-29-10ac3a3c,toronto_2014,toronto_2014|forum_research|2013-08-29|missing,forum_city_2013_08_29_n848,forum_2013_aug29_release__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-08-29-127e27bb,toronto_2014,toronto_2014|forum_research|2013-08-29|missing,forum_city_2013_08_29_n848,forum_2013_aug29_release__r5,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-08-29-4d46f0e0,toronto_2014,toronto_2014|forum_research|2013-08-29|missing,forum_city_2013_08_29_n848,forum_2013_aug29_release__r3,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-08-29-dcebef42,toronto_2014,toronto_2014|forum_research|2013-08-29|missing,forum_city_2013_08_29_n848,forum_2013_aug29_release__r4,mapped,Mapped to the Ford / Minnan-Wong head-to-head; the legacy row kept only Rob Ford (0.39) and folded Denzil Minnan-Wong and Don't Know into a 0.61 residual. The first-party extraction supersedes that combined vector.
toronto_2014-2013-11-04-b90dc200,toronto_2014,toronto_2014|forum_research|2013-11-04|missing,forum_city_2013_11_04_n1393,forum_2013_nov04_release__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-04-d0e9e15c,toronto_2014,toronto_2014|forum_research|2013-11-04|missing,forum_city_2013_11_04_n1393,forum_2013_nov04_release__r4,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-04-ef100e47,toronto_2014,toronto_2014|forum_research|2013-11-04|missing,forum_city_2013_11_04_n1393,forum_2013_nov04_release__r3,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-04-f846e0fb,toronto_2014,toronto_2014|forum_research|2013-11-04|missing,forum_city_2013_11_04_n1393,forum_2013_nov04_release__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-12-6a9b9d1e,toronto_2014,toronto_2014|ipsos_reid|2013-11-12|missing,ipsos_city_2013_11_08_12_n665,ipsos_nov2013_scenario3,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-12-7d87bc74,toronto_2014,toronto_2014|ipsos_reid|2013-11-12|missing,ipsos_city_2013_11_08_12_n665,ipsos_nov2013_scenario2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-12-a25ac730,toronto_2014,toronto_2014|ipsos_reid|2013-11-12|missing,ipsos_city_2013_11_08_12_n665,ipsos_nov2013_scenario1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-12-e5e824f2,toronto_2014,toronto_2014|ipsos_reid|2013-11-12|missing,ipsos_city_2013_11_08_12_n665,ipsos_nov2013_scenario4,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-24-0434843b,toronto_2014,toronto_2014|forum_research|2013-11-24|missing,forum_city_2013_11_24_n1049,forum_2013_nov24_sun__r6,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-24-28fc3455,toronto_2014,toronto_2014|forum_research|2013-11-24|missing,forum_city_2013_11_24_n1049,forum_2013_nov24_sun__r5,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2013-11-24-3ace1d90,toronto_2014,toronto_2014|forum_research|2013-11-24|missing,forum_city_2013_11_24_n1049,forum_2013_nov24_sun__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-01-06-f94510f4,toronto_2014,toronto_2014|forum_research|2014-01-06|missing,staging:toronto_2014:forum_research:2014-01-06:nmissing,staging:toronto_2014-2014-01-06-f94510f4,unresolved,Discovery-only proxy. Legacy date is last polling-date proxy; shares were normalized and residual kinds combined; owning source and publication timing remain unresolved.
toronto_2014-2014-01-22-17ee9410,toronto_2014,toronto_2014|forum_research|2014-01-22|missing,forum_city_2014_01_22_n1063,forum_2014_jan22_release__r7,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-02-09-ad636993,toronto_2014,toronto_2014|forum_research|2014-02-09|missing,forum_city_2014_02_06_n769,forum_2014_feb09_sun__r4,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-02-09-dd29b723,toronto_2014,toronto_2014|forum_research|2014-02-09|missing,forum_city_2014_02_06_n769,forum_2014_feb09_sun__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-02-24-59cb828a,toronto_2014,toronto_2014|forum_research|2014-02-24|missing,forum_city_2014_02_24_n1310,forum_2014_feb24_four_way_ford,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-02-24-d2896f09,toronto_2014,toronto_2014|forum_research|2014-02-24|missing,forum_city_2014_02_24_n1310,forum_2014_feb24_ford_tory_chow,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-02-24-ebbbbd3a,toronto_2014,toronto_2014|forum_research|2014-02-24|missing,forum_city_2014_02_24_n1310,forum_2014_feb24_five_way,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-03-13-b2122bbc,toronto_2014,toronto_2014|forum_research|2014-03-13|missing,forum_city_2014_03_13_n1271,forum_2014_mar13_release__r3,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-03-13-cd5b72f3,toronto_2014,toronto_2014|forum_research|2014-03-13|missing,forum_city_2014_03_13_n1271,forum_2014_mar13_release__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-03-27-2d4bc707,toronto_2014,toronto_2014|forum_research|2014-03-27|missing,forum_city_2014_03_27_n634,forum_2014_mar27_release__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-03-27-da2b1b5d,toronto_2014,toronto_2014|forum_research|2014-03-27|missing,forum_city_2014_03_27_n634,forum_2014_mar27_release__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-04-14-21adb36a,toronto_2014,toronto_2014|forum_research|2014-04-14|missing,forum_city_2014_04_14_n882,forum_2014_apr14_four_way_no_ford,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-04-14-6b1c4967,toronto_2014,toronto_2014|forum_research|2014-04-14|missing,forum_city_2014_04_14_n882,forum_2014_apr14_five_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-04-14-6de26188,toronto_2014,toronto_2014|forum_research|2014-04-14|missing,forum_city_2014_04_14_n882,forum_2014_apr14_three_way,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-01-63bee463,toronto_2014,toronto_2014|forum_research|2014-05-01|missing,forum_city_2014_05_01_n888,forum_2014_may01_five_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-01-e88f6159,toronto_2014,toronto_2014|forum_research|2014-05-01|missing,forum_city_2014_05_01_n888,forum_2014_may01_four_way_no_ford,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-01-ef18a380,toronto_2014,toronto_2014|forum_research|2014-05-01|missing,forum_city_2014_05_01_n888,forum_2014_may01_three_way,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-21-33505da6,toronto_2014,toronto_2014|forum_research|2014-05-21|missing,forum_city_2014_05_21_n923,forum_2014_may21_five_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-21-3fd183ff,toronto_2014,toronto_2014|forum_research|2014-05-21|missing,forum_city_2014_05_21_n923,forum_2014_may21_five_way_doug,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-21-49c9ea8d,toronto_2014,toronto_2014|forum_research|2014-05-21|missing,forum_city_2014_05_21_n923,forum_2014_may21_four_way_no_ford,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-21-5bacb559,toronto_2014,toronto_2014|forum_research|2014-05-21|missing,forum_city_2014_05_21_n923,forum_2014_may21_three_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-21-bc54549a,toronto_2014,toronto_2014|forum_research|2014-05-21|missing,forum_city_2014_05_21_n923,forum_2014_may21_three_way_doug,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-05-21-f67470d1,toronto_2014,toronto_2014|forum_research|2014-05-21|missing,forum_city_2014_05_21_n923,forum_2014_may21_five_way_norm_kelly,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-06-23-76b204a0,toronto_2014,toronto_2014|forum_research|2014-06-23|missing,forum_city_2014_06_23_n890,forum_2014_jun23_three_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-06-23-7e968ba6,toronto_2014,toronto_2014|forum_research|2014-06-23|missing,forum_city_2014_06_23_n890,forum_2014_jun23_five_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-06-23-9f6d6da3,toronto_2014,toronto_2014|forum_research|2014-06-23|missing,forum_city_2014_06_23_n890,forum_2014_jun23_two_way_tory_chow,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-06-23-e45dd43a,toronto_2014,toronto_2014|forum_research|2014-06-23|missing,forum_city_2014_06_23_n890,forum_2014_jun23_four_way_no_ford,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-07-02-30237a62,toronto_2014,toronto_2014|forum_research|2014-07-02|missing,forum_city_2014_07_02_n1182,forum_2014_jul02_two_way_tory_chow_trend,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-07-02-7afc20a5,toronto_2014,toronto_2014|forum_research|2014-07-02|missing,forum_city_2014_07_02_n1182,forum_2014_jul02_three_way_rob_trend,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-07-02-810c9dea,toronto_2014,toronto_2014|forum_research|2014-07-02|missing,forum_city_2014_07_02_n1182,forum_2014_jul02_five_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-07-02-f0332833,toronto_2014,toronto_2014|forum_research|2014-07-02|missing,forum_city_2014_07_02_n1182,forum_2014_jul02_four_way_no_ford_trend,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-07-05-8095cb7d,toronto_2014,toronto_2014|nanos_research|2014-07-05|missing,nanos_city_2014_07_02_05_n600,nanos_jul_ballot,mapped,Mapped to the visually verified Nanos Ballot reading. The legacy scraper treated the source's 1.0% Soknacki value as 100% before normalizing the row; the canonical source values supersede that corrupted vector.
toronto_2014-2014-07-21-83f8db7a,toronto_2014,toronto_2014|forum_research|2014-07-21|missing,forum_city_2014_07_21_n1063,forum_2014_jul21_three_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-07-21-8e6e3f76,toronto_2014,toronto_2014|forum_research|2014-07-21|missing,forum_city_2014_07_21_n1063,forum_2014_jul21_five_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-07-30-68013cdd,toronto_2014,toronto_2014|maple_leaf_strategies|2014-07-30|missing,maple_leaf_city_2014_07_28_30_n800,maple_leaf_jul_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-07-30-c9871872,toronto_2014,toronto_2014|maple_leaf_strategies|2014-07-30|missing,maple_leaf_city_2014_07_28_30_n800,maple_leaf_jul_all,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-08-06-52196426,toronto_2014,toronto_2014|forum_research|2014-08-06|missing,forum_city_2014_08_05_06_n1268,forum_2014_aug06_five_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-08-06-820ca818,toronto_2014,toronto_2014|forum_research|2014-08-06|missing,forum_city_2014_08_05_06_n1268,forum_2014_aug06_three_way_rob_trend,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-08-26-066ea1b6,toronto_2014,toronto_2014|forum_research|2014-08-26|missing,forum_city_2014_08_25_26_n1945,forum_2014_aug26_four_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-08-26-82a7f606,toronto_2014,toronto_2014|forum_research|2014-08-26|missing,forum_city_2014_08_25_26_n1945,forum_2014_aug26_three_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-08-31-0ebf8dc2,toronto_2014,toronto_2014|nanos_research|2014-08-31|missing,nanos_city_2014_08_31_n1000,nanos_2014_aug31_report__r2,mapped,"Nanos Aug 31 sample, decided-voter reading. Legacy is the unprompted accessible ballot; the first-party decided-voter ballot supersedes it."
toronto_2014-2014-08-31-615d57f4,toronto_2014,toronto_2014|nanos_research|2014-08-31|missing,nanos_city_2014_08_31_n1000,nanos_2014_aug31_report__r1,mapped,Nanos Aug 31 sample. The legacy row is Nanos's unprompted accessible-ballot question (a large 'unsure' residual); it is superseded by the first-party prompted first-ranked ballot (including Unsure) extracted from the report.
toronto_2014-2014-09-08-98eb25b6,toronto_2014,toronto_2014|forum_research|2014-09-08|missing,forum_city_2014_09_08_n1069,forum_2014_sep08_two_way_rob_tory,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-08-b82e0bbf,toronto_2014,toronto_2014|forum_research|2014-09-08|missing,forum_city_2014_09_08_n1069,forum_2014_sep08_three_way_rob,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-08-dd81d126,toronto_2014,toronto_2014|forum_research|2014-09-08|missing,forum_city_2014_09_08_n1069,forum_2014_sep08_four_way_rob,mapped,"Mapped to the four-candidate reading (Tory 40, Rob Ford 28, Chow 21, Soknacki 6). The legacy row halved the named shares into a >0.5 residual; the first-party source values supersede that corrupted vector."
toronto_2014-2014-09-12-0f52b317,toronto_2014,toronto_2014|mainstreet_technologies|2014-09-12|missing,mainstreet_city_2014_09_12_n1054,mainstreet_2014_sep13_report__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-12-6d6a07d5,toronto_2014,toronto_2014|forum_research|2014-09-12|missing,forum_city_2014_09_12_n1228,forum_2014_sep12_three_way_doug,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-12-97920e4e,toronto_2014,toronto_2014|mainstreet_technologies|2014-09-12|missing,mainstreet_city_2014_09_12_n1054,mainstreet_2014_sep13_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-16-2b8087b6,toronto_2014,toronto_2014|ipsos_reid|2014-09-16|missing,ipsos_city_2014_09_12_16_n596,ipsos_sep16_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-20-149cf9eb,toronto_2014,toronto_2014|nanos_research|2014-09-20|missing,nanos_city_2014_09_16_20_n1000,nanos_sep_all,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-20-8da2bbf6,toronto_2014,toronto_2014|nanos_research|2014-09-20|missing,nanos_city_2014_09_16_20_n1000,nanos_sep_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-21-0b625aeb,toronto_2014,toronto_2014|mainstreet_technologies|2014-09-21|missing,mainstreet_city_2014_09_21_n2469,mainstreet_2014_sep21_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-21-fc3831be,toronto_2014,toronto_2014|mainstreet_technologies|2014-09-21|missing,mainstreet_city_2014_09_21_n2469,mainstreet_2014_sep21_report__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-22-19304bb9,toronto_2014,toronto_2014|forum_research|2014-09-22|missing,forum_city_2014_09_22_n1164,forum_2014_sep22_horserace__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-22-19782e6d,toronto_2014,toronto_2014|forum_research|2014-09-22|missing,forum_city_2014_09_22_n1164,forum_2014_sep22_horserace__r1,mapped,"Mapped to the full three-way current field (Tory 38, Doug Ford 31, Chow 25) recovered from the Sep 22 horserace release. The legacy row halved the shares into a >0.5 residual; the first-party values supersede it."
toronto_2014-2014-09-26-ffa3584b,toronto_2014,toronto_2014|ipsos_reid|2014-09-26|missing,ipsos_city_2014_09_23_26_n1252,ipsos_sep26_decided_leaners,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-28-03741d5a,toronto_2014,toronto_2014|mainstreet_technologies|2014-09-28|missing,mainstreet_city_2014_09_28_n2409,mainstreet_2014_sep28_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-28-3ea61f3e,toronto_2014,toronto_2014|mainstreet_technologies|2014-09-28|missing,mainstreet_city_2014_09_28_n2409,mainstreet_2014_sep28_report__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-09-29-8273cf08,toronto_2014,toronto_2014|forum_research|2014-09-29|missing,forum_city_2014_09_29_n1202,forum_2014_sep29_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-05-4e73e0b7,toronto_2014,toronto_2014|mainstreet_technologies|2014-10-05|missing,mainstreet_city_2014_10_05_n2379,mainstreet_2014_oct05_report__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-05-b15e7c6a,toronto_2014,toronto_2014|mainstreet_technologies|2014-10-05|missing,mainstreet_city_2014_10_05_n2379,mainstreet_2014_oct05_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-06-400594e6,toronto_2014,toronto_2014|forum_research|2014-10-06|missing,forum_city_2014_10_06_n1218,forum_2014_oct06_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-14-44ca18bc,toronto_2014,toronto_2014|forum_research|2014-10-14|missing,forum_city_2014_10_15_n1241,forum_2014_oct15_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-17-364251db,toronto_2014,toronto_2014|mainstreet_technologies|2014-10-17|missing,mainstreet_city_2014_10_16_n2265,mainstreet_2014_oct17_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-17-c139fbc5,toronto_2014,toronto_2014|mainstreet_technologies|2014-10-17|missing,mainstreet_city_2014_10_16_n2265,mainstreet_2014_oct17_report__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-20-056adce9,toronto_2014,toronto_2014|forum_research|2014-10-20|missing,forum_city_2014_10_20_n852,forum_2014_oct20_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-23-10ff6cd1,toronto_2014,toronto_2014|ipsos_reid|2014-10-23|missing,ipsos_city_2014_10_21_23_n1201,ipsos_oct23_decided_leaners,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-23-402c55fc,toronto_2014,toronto_2014|mainstreet_technologies|2014-10-23|missing,mainstreet_city_2014_10_23_n3569,mainstreet_2014_oct23_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-23-5e3b3a4f,toronto_2014,toronto_2014|mainstreet_technologies|2014-10-23|missing,mainstreet_city_2014_10_23_n3569,mainstreet_2014_oct23_report__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2014-2014-10-25-2382a96c,toronto_2014,toronto_2014|forum_research|2014-10-25|missing,forum_city_2014_10_25_n986,forum_2014_oct25_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-07-27-4dbe1c75,toronto_2018,toronto_2018|forum_research|2018-07-27|missing,forum_city_2018_07_27_n1328,forum_2018_jul27_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-08-27-ab6de01e,toronto_2018,toronto_2018|forum_research|2018-08-27|missing,forum_city_2018_08_27_n1242,forum_2018_aug27_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-09-05-7c405033,toronto_2018,toronto_2018|mainstreet_research|2018-09-05|missing,mainstreet_city_2018_09_05_n1178,mainstreet_2018_sep06_report__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-09-05-87b8c045,toronto_2018,toronto_2018|probit_inc|2018-09-05|missing,probit_city_2018_08_20_09_05_n1635,probit_2018_undecideds_removed,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-09-16-8259f99e,toronto_2018,toronto_2018|mainstreet_research|2018-09-16|missing,mainstreet_city_2018_09_16_n802,mainstreet_2018_sep16_report__r2,mapped,"Mapped to the decided-voter reading. Mainstreet's 2018 legacy proxy recorded only the decided-voter field (Tory/Keesmaat), folding the minor candidates into a residual; the all-respondents field is a separate reading."
toronto_2018-2018-09-24-1e18acf4,toronto_2018,toronto_2018|forum_research|2018-09-24|missing,forum_city_2018_09_20_24_n944,forum_2018_sep24_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-09-25-bd8a7f23,toronto_2018,toronto_2018|mainstreet_research|2018-09-25|missing,mainstreet_city_2018_09_25_n966,mainstreet_2018_sep25_report__r2,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-10-05-34b8524e,toronto_2018,toronto_2018|forum_research|2018-10-05|missing,forum_city_2018_10_03_05_n987,forum_2018_oct05_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-10-10-1c17f752,toronto_2018,toronto_2018|forum_research|2018-10-10|missing,forum_city_2018_10_09_10_n1206,forum_2018_oct10_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2018-2018-10-15-00471a65,toronto_2018,toronto_2018|dart_insight_and_communications|2018-10-15|missing,dart_city_2018_10_12_15_n669,dart_2018_head_to_head,mapped,Mapped to a visually verified first-party document extraction.
toronto_2022-2022-10-08-193526f0,toronto_2022,toronto_2022|forum_research|2022-10-08|1017.0,forum_city_2022_10_07_08_n1017,forum_2022_oct08_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-02-14-5a8ad8e6,toronto_2023,toronto_2023|forum_research|2023-02-14|10420.0,forum_city_2023_02_13_n1042,forum_2023_feb13_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-02-14-f879a53a,toronto_2023,toronto_2023|mainstreet_research|2023-02-14|19470.0,mainstreet_city_2023_02_13_14_n1947,mainstreet_2023_feb14_all,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-02-19-b354d774,toronto_2023,toronto_2023|mainstreet_research|2023-02-19|17010.0,mainstreet_city_2023_02_19_n1701,mainstreet_2023_feb19_all,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-03-19-1cb19f92,toronto_2023,toronto_2023|mainstreet_research|2023-03-19|9850.0,mainstreet_city_2023_03_17_19_n985,mainstreet_2023_mar19_all,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-03-23-9ed06eb6,toronto_2023,toronto_2023|forum_research|2023-03-23|10090.0,forum_city_2023_03_22_23_n1009,forum_2023_mar23_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-04-03-c3a0fb42,toronto_2023,toronto_2023|mainstreet_research|2023-04-03|13060.0,mainstreet_city_2023_04_03_n1306,mainstreet_2023_cp24_a__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-04-13-431601a9,toronto_2023,toronto_2023|mainstreet_research|2023-04-13|7850.0,mainstreet_city_2023_04_12_13_n785,mainstreet_2023_apr13_all,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-04-20-3df69850,toronto_2023,toronto_2023|mainstreet_research|2023-04-20|10820.0,mainstreet_city_2023_04_17_19_n1082,mainstreet_2023_apr20_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-04-22-99e92736,toronto_2023,toronto_2023|liaison_strategies|2023-04-22|12640.0,liaison_city_2023_04_21_22_n1264,liaison_2023_04_21_22_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-04-26-60f8ec78,toronto_2023,toronto_2023|forum_research|2023-04-26|10220.0,forum_city_2023_04_25_26_n1022,forum_2023_apr26_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-04-26-a07c911c,toronto_2023,toronto_2023|mainstreet_research|2023-04-26|9960.0,mainstreet_city_2023_04_25_26_n996,mainstreet_2023_apr26_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-04-29-27c4faed,toronto_2023,toronto_2023|liaison_strategies|2023-04-29|12530.0,liaison_city_2023_04_28_29_n1253,liaison_2023_04_28_29_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-03-ce518d01,toronto_2023,toronto_2023|mainstreet_research|2023-05-03|10560.0,mainstreet_city_2023_05_03_n1056,mainstreet_2023_may03_report__r1,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-06-f56cccbb,toronto_2023,toronto_2023|liaison_strategies|2023-05-06|12570.0,liaison_city_2023_05_05_06_n1257,liaison_2023_05_05_06_decided,mapped,Mapped to a visually verified first-party document extraction.
toronto_2023-2023-05-07-6f5a8760,toronto_2023,toronto_2023|forum_research|2023-05-07|20000.0,forum_city_2023_05_06_07_n2000,forum_2023_may07_decided_leaning,mapped,Mapped to a visually verified first-party document extraction.
