poll_sample_id,election_cycle_id,pollster,sponsor,geography_type,geography_id,fieldwork_start,fieldwork_end,publication_date,publication_at,publication_time_precision,evidence_available_at,collection_mode,recruited_sample_size,extraction_status,notes
liaison-2026-03-08,toronto-2026,Liaison Strategies,Toronto Star,citywide,toronto,2026-03-06,2026-03-08,2026-03-10,,date_only,2026-03-11T00:00:00-04:00,ivr,1000,extracted,"First-party release reports 1,000 Torontonians reached by IVR/RDD and identifies a Toronto Star collaboration; publication uses the release-page date."
pallas-2026-03-08,toronto-2026,Pallas Data,,citywide,toronto,2026-03-07,2026-03-08,2026-03-10,,date_only,2026-03-11T00:00:00-04:00,ivr,735,extracted,"Methodology reports 735 Toronto adults aged 18+ eligible to vote municipally, interviewed by automated IVR on landlines and cellphones. Two ballot fields each have all-voter and decided-only results, producing four dependent readings from one respondent sample."
liaison-2026-04-13,toronto-2026,Liaison Strategies,Toronto Star,citywide,toronto,2026-04-12,2026-04-13,2026-04-17,,date_only,2026-04-18T00:00:00-04:00,ivr,1000,extracted,"First-party release reports 1,000 Torontonians reached by IVR/RDD and identifies a Toronto Star collaboration; publication uses the release-page date."
liaison-2026-05-11,toronto-2026,Liaison Strategies,,citywide,toronto,2026-05-10,2026-05-11,2026-05-14,,date_only,2026-05-15T00:00:00-04:00,ivr,1000,extracted,"First-party release reports a random sample of 1,000 Torontonians reached by IVR/RDD; publication uses the release-page date."
mainstreet-2026-06-18,toronto-2026,Mainstreet Research,,citywide,toronto,2026-06-12,2026-06-18,2026-06-23,,date_only,2026-06-24T00:00:00-04:00,sms-online-and-ivr,1157,extracted,"Report methodology gives 1,157 Toronto adults aged 18+ interviewed through SMS-to-online and IVR. Publication uses the first-party page date, not fieldwork end. Public and full editions are one sample."
liaison-2026-06-30,toronto-2026,Liaison Strategies,,citywide,toronto,2026-06-28,2026-06-30,2026-07-07,,date_only,2026-07-08T00:00:00-04:00,ivr,1000,extracted,"First-party release reports 1,000 Toronto residents reached by IVR/RDD. Conservative publication date uses the release-page date, July 7, rather than the July 6 document filenames."
liaison-2026-07-26,toronto-2026,Liaison Strategies,,citywide,toronto,2026-07-24,2026-07-26,2026-07-29,,date_only,2026-07-30T00:00:00-04:00,ivr,1000,extracted,"First-party release reports 1,000 Toronto residents reached by IVR/RDD; publication uses the release-page date."
forum-2026-07-29,toronto-2026,Forum Research,,citywide,toronto,2026-07-29,2026-07-29,2026-07-30,,date_only,2026-07-31T00:00:00-04:00,ivr,1011,extracted,"Report methodology gives 1,011 randomly selected Toronto residents aged 18+ by IVR and a July 30 report date. The primary and Alexander-added fields are dependent readings from one respondent sample."
liaison-2026-08-05,toronto-2026,Liaison Strategies,Toronto Star,citywide,toronto,2026-08-04,2026-08-05,2026-08-07,,date_only,2026-08-08T00:00:00-04:00,ivr,1000,extracted,"First-party release reports 1,000 Toronto residents reached by IVR/RDD; the table book identifies the Toronto Star. Publication uses the release-page date."
forum_w20_20260622_23,toronto-2026,Forum Research,,ward,toronto-ward-20,2026-06-22,2026-06-23,2026-06-24,,date_only,2026-06-30T00:00:00-04:00,ivr,311,extracted,"All readings with this poll_sample_id are dependent evidence from one respondent sample. The source reports the collection mode as ""IVR telephone"". The PDF is dated 2026-06-24; earliest confirmed current-host availability is 2026-06-29. Because that availability is date-only, evidence_available_at is conservatively 2026-06-30T00:00:00-04:00. The methodology paragraph incorrectly calls the sampled geography York South-Weston; title, toplines, question, and table identify Scarborough-Southwest. Preserved without correction."
forum_w05_20260622_23,toronto-2026,Forum Research,,ward,toronto-ward-5,2026-06-22,2026-06-23,2026-06-24,,date_only,2026-06-30T00:00:00-04:00,ivr,301,extracted,"All readings with this poll_sample_id are dependent evidence from one respondent sample. The source reports the collection mode as ""IVR telephone"". The PDF is dated 2026-06-24; earliest confirmed current-host availability is 2026-06-29. Because that availability is date-only, evidence_available_at is conservatively 2026-06-30T00:00:00-04:00. The PDF is dated June 24 while the attachment HTTP timestamp and Forum API/page availability are June 29; both dates are retained."
forum_w13_20260622_23,toronto-2026,Forum Research,,ward,toronto-ward-13,2026-06-22,2026-06-23,2026-06-24,,date_only,2026-06-30T00:00:00-04:00,ivr,355,extracted,"All readings with this poll_sample_id are dependent evidence from one respondent sample. The source reports the collection mode as ""IVR telephone"". The PDF is dated 2026-06-24; earliest confirmed current-host availability is 2026-06-29. Because that availability is date-only, evidence_available_at is conservatively 2026-06-30T00:00:00-04:00. The Wong-Tam versus Moise scenario appears only in prose with no reading base or detailed table. The PDF is dated June 24 but appeared on the current web host June 29."
forum_w19_20260622_23,toronto-2026,Forum Research,,ward,toronto-ward-19,2026-06-22,2026-06-23,2026-06-24,,date_only,2026-06-30T00:00:00-04:00,ivr,367,extracted,"All readings with this poll_sample_id are dependent evidence from one respondent sample. The source reports the collection mode as ""IVR telephone"". The PDF is dated 2026-06-24; earliest confirmed current-host availability is 2026-06-29. Because that availability is date-only, evidence_available_at is conservatively 2026-06-30T00:00:00-04:00. The methodology paragraph incorrectly calls the sampled geography York South-Weston; title, toplines, question, and table identify Beaches-East York. Preserved without correction."
forum_w19_20260811_12,toronto-2026,Forum Research,,ward,toronto-ward-19,2026-08-11,2026-08-12,2026-08-13,,date_only,2026-08-14T00:00:00-04:00,ivr,386,extracted,"All readings with this poll_sample_id are dependent evidence from one respondent sample. The source reports the collection mode as ""IVR telephone"". The PDF is dated 2026-08-13; earliest confirmed current-host availability is 2026-08-13. Because that availability is date-only, evidence_available_at is conservatively 2026-08-14T00:00:00-04:00. This is a separately recruited Ward 19 sample from the June sample but remains same-firm replication. The Council field is explicitly hypothetical because Erskine-Smith had not entered."
forum_w11_20260812,toronto-2026,Forum Research,,ward,toronto-ward-11,2026-08-12,2026-08-12,2026-08-13,,date_only,2026-08-14T00:00:00-04:00,ivr,449,extracted,"All readings with this poll_sample_id are dependent evidence from one respondent sample. The source reports the collection mode as ""IVR telephone"". The PDF is dated 2026-08-13; earliest confirmed current-host availability is 2026-08-13. Because that availability is date-only, evidence_available_at is conservatively 2026-08-14T00:00:00-04:00. One parent sample produced a then-current Council reading, a hypothetical Mike Layton Council reading, and a ward-level mayoral reading. They are dependent, not three polls. No undecided percentage is explicitly published."
