poll_reading_id,poll_sample_id,source_document_id,source_locator,contest_type,contest_id,question_order_status,question_order,document_display_order,question_text_status,question_text,scenario_label,population,turnout_screen,turnout_screen_text,denominator_type,denominator_text,unweighted_base_status,unweighted_base,weighted_base_status,weighted_base,reported_base_status,reported_base,tested_choice_set_status,response_coverage,reported_share_unit,reported_share_precision,notes,reading_purpose
pallas_20250607_mayor_all,pallas-2025-06-07,pallas_2025-06-07_full,"page 9, mayoral table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, which candidate would you vote for? (All Voters) [1]","published field, all voters","adults, 18 years of age or older, living in Toronto and are eligible to vote in municipal elections",eligible_voters,eligible to vote in municipal elections,all_respondents,All Voters,reported,611,reported,611,not_reported,,unknown,complete,percent,1,Detailed total column used. The [1] marker repeats across unrelated questions and is preserved in the question text but not treated as questionnaire order. Published weighted subgroup frequencies do not reconcile to the printed total; total-column bases and shares are preserved. This reading is dependent on the other readings from the same sample.,general_vote_intention
pallas_20250607_mayor_leaning,pallas-2025-06-07,pallas_2025-06-07_full,"page 10, mayoral table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, which party would you vote for? (Leaning Voters With Undecided Totals) [1]",leaning-voter adjustment with residual undecided,"adults, 18 years of age or older, living in Toronto and are eligible to vote in municipal elections",eligible_voters,eligible to vote in municipal elections,custom,Leaning Voters With Undecided Totals,reported,611,reported,611,not_reported,,unknown,complete,percent,1,The source says “party” in this mayoral candidate table; the wording is preserved rather than repaired. The [1] marker is not treated as questionnaire order. Published weighted subgroup frequencies do not reconcile to the printed total. This reading is dependent on the other readings from the same sample.,general_vote_intention
pallas_20250607_mayor_decided_leaning,pallas-2025-06-07,pallas_2025-06-07_full,"page 11, mayoral table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, which party would you vote for? (Decided And Leaning Voters) [1]",decided and leaning voters,"adults, 18 years of age or older, living in Toronto and are eligible to vote in municipal elections",eligible_voters,eligible to vote in municipal elections,custom,Decided And Leaning Voters,reported,527,reported,527,not_reported,,unknown,complete,percent,1,The source says “party” in this mayoral candidate table; the wording is preserved rather than repaired. The [1] marker is not treated as questionnaire order. Published weighted subgroup frequencies do not reconcile to the printed total. This reading is dependent on the other readings from the same sample.,general_vote_intention
liaison_20250702_06_mayor_with_tory_all,liaison-2025-07-06,liaison_2025-07-06_full,"pages 5 and 20, Including John Tory chart and table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",Including John Tory,Torontonians,not_reported,,all_respondents,All Voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,"All Voters and Decided Only are dependent readings from one respondent sample. Page 20 explicitly prints Sample (Unweighted) and Weighted totals of 1000 for this all-voter reading. The document does not report an age, registration, eligibility, likely-voter, or past-voter screen; All Voters is retained as a denominator label rather than treated as a turnout screen. Candidate offer order and questionnaire order are not reported.",general_vote_intention
liaison_20250702_06_mayor_with_tory_decided,liaison-2025-07-06,liaison_2025-07-06_full,"page 5, Including John Tory chart",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",Including John Tory,Torontonians,not_reported,,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Dependent reading from the same sample and ballot scenario as the All Voters reading. No decided-only unweighted or weighted base is published, so no base is derived from the all-voter sample or rounded shares. Candidate offer order and questionnaire order are not reported.",general_vote_intention
liaison_20250702_06_mayor_without_tory_all,liaison-2025-07-06,liaison_2025-07-06_full,"pages 6 and 21, Without John Tory chart and table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",Without John Tory,Torontonians,not_reported,,all_respondents,All Voters,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,Dependent alternate ballot from the same respondent sample. The Without John Tory table does not repeat reading bases; they remain unreported rather than being copied from the Including John Tory table or headline sample size. The document does not report a turnout screen. Candidate offer order and questionnaire order are not reported.,general_vote_intention
liaison_20250702_06_mayor_without_tory_decided,liaison-2025-07-06,liaison_2025-07-06_full,"page 6, Without John Tory chart",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",Without John Tory,Torontonians,not_reported,,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,Dependent alternate-ballot denominator from the same respondent sample. No decided-only base is published. Displayed shares sum to 101% because of source rounding and are preserved without adjustment. Candidate offer order and questionnaire order are not reported.,general_vote_intention
ipsos_20250829_mayor_all,ipsos-2025-08-29,ipsos_2025-08-29_full,"page 24, Q19 chart and base",mayoral,toronto-mayor-2026,reported,19,,reported,"If you were to vote for a mayor of Toronto tomorrow, who would you choose?",published field,residents of Toronto aged 18+,not_reported,,all_respondents,All respondents,not_reported,,not_reported,,reported,1001,unknown,complete,percent,0,"Q19 is the source's printed question number. The base is reported only generically as n=1001, so it is not classified as weighted or unweighted. “I wouldn’t vote” is retained as would_not_vote, not undecided.",general_vote_intention
forum_20250904_mayor_primary,forum-2025-09-04,forum_2025-09-04_full,"page 3, primary mayoral table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, who would you vote for? + Even though you may not have made up your mind, who are you leaning towards at this time?",published multi-candidate field,Toronto residents over the age of 18,not_reported,,custom,[Decided/ Leaning],reported,909,reported,904,not_reported,,unknown,complete,percent,0,The detailed table labels the 13% residual “Other”; release prose instead calls 13% undecided. The table label is preserved and not converted to undecided. This reading is dependent on the three head-to-head readings from the same sample.,general_vote_intention
forum_20250904_mayor_chow_tory,forum-2025-09-04,forum_2025-09-04_full,"page 5, Chow–Tory head-to-head table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were a head-to-head race between Olivia Chow and John Tory, who would you vote for?",head-to-head: Olivia Chow and John Tory,Toronto residents over the age of 18,not_reported,,not_reported,,reported,1001,reported,1001,not_reported,,unknown,complete,percent,0,"The methodology reports 1,000 respondents, but this table explicitly prints TOTAL (u/w)=1001 and TOTAL (w/t)=1001. Both source statements are preserved: the parent recruited_sample_size remains blank rather than choosing one, while this reading retains the printed table bases. Dependent reading from the same respondent sample.",general_vote_intention
forum_20250904_mayor_chow_bradford,forum-2025-09-04,forum_2025-09-04_full,"page 6, Chow–Bradford head-to-head table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were a head-to-head race between Olivia Chow and Brad Bradford, who would you vote for?",head-to-head: Olivia Chow and Brad Bradford,Toronto residents over the age of 18,not_reported,,not_reported,,reported,1001,reported,1001,not_reported,,unknown,complete,percent,0,"The methodology reports 1,000 respondents, but this table explicitly prints TOTAL (u/w)=1001 and TOTAL (w/t)=1001. Both source statements are preserved: the parent recruited_sample_size remains blank rather than choosing one, while this reading retains the printed table bases. Dependent reading from the same respondent sample.",general_vote_intention
forum_20250904_mayor_chow_bailao,forum-2025-09-04,forum_2025-09-04_full,"page 7, Chow–Bailão head-to-head table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were a head-to-head race between Olivia Chow and Ana Bailão, who would you vote for?",head-to-head: Olivia Chow and Ana Bailão,Toronto residents over the age of 18,not_reported,,not_reported,,reported,1001,reported,1001,not_reported,,unknown,complete,percent,0,"The methodology reports 1,000 respondents, but this table explicitly prints TOTAL (u/w)=1001 and TOTAL (w/t)=1001. Both source statements are preserved: the parent recruited_sample_size remains blank rather than choosing one, while this reading retains the printed table bases. Displayed shares sum to 101% because of source rounding. Dependent reading from the same respondent sample.",general_vote_intention
canadapulse_20251006_mayor_all,canadapulse-2025-10-06,canadapulse_2025-10-06_tables,sheet Toronto Civic 10 25!A333:C370; Toronto column B,mayoral,toronto-mayor-2026,not_reported,,,reported,"TORONTO - If there were an election to be held and the following were in the race for Mayor, who would you most likely consider for the top job?",published Toronto field,adult (aged 18+) residents of Toronto,not_reported,,all_respondents,Base: Toronto Respondents,reported,406,reported,406,not_reported,,unknown,complete,percent,0,"Workbook formatted tokens and the Toronto total column are used. The media release reports Chow at 29% while the detailed workbook reports 27%; the workbook value is preserved. Release prose omits the workbook's 6% “Nobody, I won't vote” row and paraphrases the 33% residual. The tracked sample locator covers the complete A333:C370 mayoral block, including the nonvoter and Sigma rows.",context_only
liaison_20251022_23_mayor_all,liaison-2025-10-23,liaison_2025-10-23_full,"pages 10 and 14, Toronto election chart and Mayoral Voting Intentions table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Toronto,not_reported,,all_respondents,All Voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,"All Voters and Decided Only are dependent readings from the Toronto sample. Page 14 explicitly prints Sample (Unweighted) and Weighted totals of 1000 for the mayoral table. The multi-city methodology identifies Toronto and its sample size but does not report age, registration, voter eligibility, or another turnout screen; population is not expanded beyond the source's city label. Candidate offer order and questionnaire order are not reported.",general_vote_intention
liaison_20251022_23_mayor_decided,liaison-2025-10-23,liaison_2025-10-23_full,"page 10, Toronto election chart",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Toronto,not_reported,,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Dependent denominator from the same Toronto sample. No decided-only base is published, so it is not derived from the all-voter base. Page 16 contains federal rather than mayoral vote-intention tables and is excluded. Candidate offer order and questionnaire order are not reported.",general_vote_intention
liaison_20251219_21_mayor_all,liaison-2025-12-21,liaison_2025-12-21_full,"pages 4 and 10, Toronto election chart and first mayoral table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,all_respondents,All Voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,All Voters and Decided Only are dependent readings from one respondent sample. Page 10 explicitly prints Sample (Unweighted) and Weighted totals of 1000 beneath the all-voter table. The document does not report a turnout screen. Displayed shares sum to 101% because of source rounding and are preserved without adjustment. Candidate offer order and questionnaire order are not reported.,general_vote_intention
liaison_20251219_21_mayor_decided,liaison-2025-12-21,liaison_2025-12-21_full,"pages 4 and 10, Decided Only chart bars and second mayoral table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,Dependent denominator from the same respondent sample. No decided-only base is printed; the 1000 all-voter base is not reused. Candidate offer order and questionnaire order are not reported.,general_vote_intention
liaison_20260131_0202_mayor_all,liaison-2026-02-02,liaison_2026-02-02_full,"pages 3 and 6-7, All Voters sample sizes and vote-intention tables",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,all_respondents,All Voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,Page 3 explicitly labels the sample-size table All Voters and reports unweighted and weighted totals of 1000. Pages 6-7 publish the response table including Undecided. The document does not report a turnout screen. Displayed shares sum to 101% because of source rounding and are preserved without adjustment. Candidate offer order and questionnaire order are not reported.,general_vote_intention
liaison_20260131_0202_mayor_five_option,liaison-2026-02-02,liaison_2026-02-02_full,"pages 8-9, five-option vote-intention chart and table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,not_reported,,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Dependent five-option reading from the same sample. The rows exclude Undecided and sum to 100%, but neither page labels the denominator; it is not inferred to mean decided, leaning, or decided and leaning. No reading base is published or derived. Candidate offer order and questionnaire order are not reported.",general_vote_intention
mainstreet_20260222_mayor_all,mainstreet-2026-02-22,mainstreet_2026-02-22_full,pages 3-5; detailed total column on page 4,mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, which candidate would you vote for? (All voters)","published field, all voters","adults, 18 years of age or older, living in Toronto",not_reported,,all_respondents,All voters,reported,802,reported,802,not_reported,,unknown,complete,percent,1,Detailed-table tokens are preserved; the page 3 chart displays rounded whole percentages. This reading is dependent on the adjusted and decided-voter readings from the same sample.,general_vote_intention
mainstreet_20260222_mayor_decided_undecided,mainstreet-2026-02-22,mainstreet_2026-02-22_full,pages 6-8; detailed total column on page 7,mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, which candidate would you vote for? (Decided and Undecided)",source-labelled Decided and Undecided transformation,"adults, 18 years of age or older, living in Toronto",not_reported,,custom,Decided and Undecided,reported,802,reported,802,not_reported,,unknown,complete,percent,1,The source does not explain this transformation beyond the label; it is not recoded as raw or decided-only. Detailed-table tokens are preserved. Dependent reading from the same sample.,general_vote_intention
mainstreet_20260222_mayor_decided,mainstreet-2026-02-22,mainstreet_2026-02-22_full,pages 9-10; detailed total column on page 10,mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, which candidate would you vote for? (Decided voters)",decided voters,"adults, 18 years of age or older, living in Toronto",not_reported,,decided_respondents,Decided voters,reported,690,reported,690,not_reported,,unknown,complete,percent,1,Separate denominator from the same parent sample; detailed-table tokens are preserved. Displayed shares sum to 100.1% because of source rounding.,general_vote_intention
liaison_20260306_08_mayor_all,liaison-2026-03-08,liaison_2026-03-08_full,"pages 4 and 9-10, All Voters sample sizes and vote-intention tables",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,all_respondents,All Voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,Page 4 explicitly labels the sample-size table All Voters and reports unweighted and weighted totals of 1000. Pages 9-10 publish the all-voter response table including Undecided. The document does not report a turnout screen. Displayed shares sum to 99% because of source rounding and are preserved without adjustment. Candidate offer order and questionnaire order are not reported.,general_vote_intention
liaison_20260306_08_mayor_decided_leaning,liaison-2026-03-08,liaison_2026-03-08_full,"pages 7-8, Decided and Leaning chart and table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,custom,Decided and Leaning,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Dependent denominator from the same respondent sample. No decided-and-leaning base is published, so it is not derived from the all-voter base. Candidate offer order and questionnaire order are not reported.",general_vote_intention
pallas_20260308_mayor_all,pallas-2026-03-08,pallas_2026-03-08_full,"page 12, first ballot table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If the mayoral election were held today, which candidate would you vote for? (All Voters)","first published field, all voters","adults, 18 years of age or older, living in Toronto and are eligible to vote in municipal elections",eligible_voters,eligible to vote in municipal elections,all_respondents,All Voters,reported,735,reported,735,not_reported,,unknown,complete,percent,1,First of two dependent ballot fields. Published weighted subgroup frequencies do not reconcile to the printed total; only the total-column bases and shares are preserved. Displayed shares sum to 99.9% because of source rounding.,general_vote_intention
pallas_20260308_mayor_decided,pallas-2026-03-08,pallas_2026-03-08_full,"page 13, first ballot decided-voter table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"If a mayoral election were held today, which party would you vote for? (Decided Voters Only)","first published field, decided voters","adults, 18 years of age or older, living in Toronto and are eligible to vote in municipal elections",eligible_voters,eligible to vote in municipal elections,decided_respondents,Decided Voters Only,reported,547,reported,547,not_reported,,unknown,complete,percent,1,The source says “party” in this mayoral candidate table; the wording is preserved rather than repaired. Published weighted subgroup frequencies do not reconcile to the printed total. Dependent denominator from the same sample and ballot field.,general_vote_intention
pallas_20260308_mayor_ford_all,pallas-2026-03-08,pallas_2026-03-08_full,"page 14, Michael Ford ballot table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"We are going to now ask you a similar question but with different candidates. If the mayoral election were held today, which candidate would you vote for? (All Voters)","Michael Ford added, all voters","adults, 18 years of age or older, living in Toronto and are eligible to vote in municipal elections",eligible_voters,eligible to vote in municipal elections,all_respondents,All Voters,reported,735,reported,735,not_reported,,unknown,complete,percent,1,Second dependent ballot field from the same sample. Published weighted subgroup frequencies do not reconcile to the printed total; only the total-column bases and shares are preserved.,general_vote_intention
pallas_20260308_mayor_ford_decided,pallas-2026-03-08,pallas_2026-03-08_full,"page 15, Michael Ford decided-voter table total column",mayoral,toronto-mayor-2026,not_reported,,,reported,"We are going to now ask you a similar question but with different candidates. If a mayoral election were held today, which party would you vote for? (Decided Voters Only)","Michael Ford added, decided voters","adults, 18 years of age or older, living in Toronto and are eligible to vote in municipal elections",eligible_voters,eligible to vote in municipal elections,decided_respondents,Decided Voters Only,reported,592,reported,592,not_reported,,unknown,complete,percent,1,The source says “party” in this mayoral candidate table; the wording is preserved rather than repaired. Published weighted subgroup frequencies do not reconcile to the printed total. Dependent denominator from the same sample and second ballot field. Displayed shares sum to 99.9% because of source rounding.,general_vote_intention
liaison_20260412_13_mayor_all,liaison-2026-04-13,liaison_2026-04-13_full,"pages 4 and 8, All Voters sample sizes and vote-intention table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,all_respondents,All Voters,reported,1000,reported,1000,not_reported,,unknown,complete,percent,0,Page 4 explicitly labels the sample-size table All Voters and reports unweighted and weighted totals of 1000. Page 8 publishes the response table including Undecided. The document does not report a turnout screen. Candidate offer order and questionnaire order are not reported.,general_vote_intention
liaison_20260412_13_mayor_decided_leaning,liaison-2026-04-13,liaison_2026-04-13_full,"pages 7 and 9, Decided and Leaning chart and table",mayoral,toronto-mayor-2026,not_reported,,,reported,"If an election were held today, for whom would you cast your vote for mayor?",,Torontonians,not_reported,,custom,Decided and Leaning,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Dependent denominator from the same respondent sample. No decided-and-leaning base is published, so it is not derived from the all-voter base. Candidate offer order and questionnaire order are not reported.",general_vote_intention
