source_document_id,city_id,election_year,publisher_url,retrieval_url,media_type,sha256,local_path,byte_size,verification_status,notes
hamilton_2018_result,hamilton,2018,https://www.hamilton.ca/city-council/municipal-election/election-results-archives/2018-election-results,https://www.hamilton.ca/city-council/municipal-election/election-results-archives/2018-election-results,text/html,41c3d8e2d2f06ee2df5e6023fa76629b1e696c8c209de41face188c0ebf3f6eb,data/source_documents/mayoral_comparison_population/hamilton/hamilton_2018_official_results.html,1039842,verified_artifact,City official result page.
mississauga_2006_result,mississauga,2006,https://www.mississauga.ca/wp-content/uploads/2025/12/01114431/municipal-election-official-results-2006.pdf,https://www.mississauga.ca/wp-content/uploads/2025/12/01114431/municipal-election-official-results-2006.pdf,application/pdf,dc2ebc88798966be451a391625ba77deaf430f6ac0867ec255886b5b7e8f785b,data/source_documents/mayoral_comparison_population/mississauga/mississauga_2006_official_results.pdf,174182,verified_artifact,City certified official results; image-only PDF.
mississauga_2010_result,mississauga,2010,https://www.mississauga.ca/wp-content/uploads/2025/12/01114432/municipal-election-official-results-2010.pdf,https://www.mississauga.ca/wp-content/uploads/2025/12/01114432/municipal-election-official-results-2010.pdf,application/pdf,d4e00de753745245fc2adc14d761231933d349f47230ba28efa448be87cdb104,data/source_documents/mayoral_comparison_population/mississauga/mississauga_2010_official_results.pdf,324646,verified_artifact,City Clerk certified official results.
mississauga_2018_result,mississauga,2018,https://www.mississauga.ca/wp-content/uploads/2025/12/01114436/municipal-election-official-results-2018.pdf,https://www.mississauga.ca/wp-content/uploads/2025/12/01114436/municipal-election-official-results-2018.pdf,application/pdf,bb62e29caaa8b56c00d867dea154c2c612545a7a280ab529514d0cede77df3cf,data/source_documents/mayoral_comparison_population/mississauga/mississauga_2018_official_results.pdf,582427,verified_artifact,City certified official results.
mississauga_2022_result,mississauga,2022,https://www.mississauga.ca/wp-content/uploads/2025/12/01114438/municipal-election-official-results-2022.pdf,https://www.mississauga.ca/wp-content/uploads/2025/12/01114438/municipal-election-official-results-2022.pdf,application/pdf,b05a73e2c7edeec1d339f85e8310d6ce834b39e4de7177fa1636be1450c77bd7,data/source_documents/mayoral_comparison_population/mississauga/mississauga_2022_official_results_summary.pdf,2710904,verified_artifact,City certified official results; download includes summary and poll-level pages.
brampton_2006_result,brampton,2006,https://www.brampton.ca/EN/City-Hall/election/2006%20Location%20Results/2006-Official-Results-summary.pdf,https://www.brampton.ca/EN/City-Hall/election/2006%20Location%20Results/2006-Official-Results-summary.pdf,application/pdf,01e842b80ca08f206761f564152616ffa953ad8af46a869936eff801595dd506,data/source_documents/mayoral_comparison_population/brampton/brampton_2006_official_results_summary.pdf,117457,verified_artifact,City official GEMS summary.
brampton_2010_result,brampton,2010,https://www.brampton.ca/EN/City-Hall/election/Documents/2010%20Official%20Election%20Results.pdf,https://www.brampton.ca/EN/City-Hall/election/Documents/2010%20Official%20Election%20Results.pdf,application/pdf,58dfd218a23c5fdb17e979e2a2cdb02d3c1d519db9bbf58fdbd63143381f6a2c,data/source_documents/mayoral_comparison_population/brampton/brampton_2010_official_results.pdf,89315,verified_artifact,City official election results.
brampton_2014_result,brampton,2014,https://www.brampton.ca/EN/City-Hall/Election/Documents/2014%20Results.pdf,https://www.brampton.ca/EN/City-Hall/Election/Documents/2014%20Results.pdf,text/html,13cee096927333bf261baeb99193163d17418b0fa7d4845ff67cdac5f8a0715f,data/source_documents/mayoral_comparison_population/brampton/brampton_2014_official_results.html,39197,verified_artifact,City official GEMS HTML payload returned at the PDF-labelled URL.
brampton_2018_result,brampton,2018,https://www.brampton.ca/EN/City-Hall/Election/Documents/2018%20City%20of%20Brampton%20Municipal%20Election%20Official%20Results.pdf,https://www.brampton.ca/EN/City-Hall/Election/Documents/2018%20City%20of%20Brampton%20Municipal%20Election%20Official%20Results.pdf,application/pdf,a70ef1e6358be170c203592344ffc98952d14e436b9faf8a8d5397952f1594e9,data/source_documents/mayoral_comparison_population/brampton/brampton_2018_official_results.pdf,1049368,verified_artifact,City official election results.
brampton_2022_result,brampton,2022,https://www.brampton.ca/EN/City-Hall/Election/Documents/2022%20Brampton%20Municipal%20Election%20-%20Official%20Results.pdf,https://www.brampton.ca/EN/City-Hall/Election/Documents/2022%20Brampton%20Municipal%20Election%20-%20Official%20Results.pdf,application/pdf,2e4060bda9eb136afeecf6286f8b6815fe051cd7f82f8e7c5942134115be342b,data/source_documents/mayoral_comparison_population/brampton/brampton_2022_official_results.pdf,194367,verified_artifact,City official election results.
