year,ward,candidate,votes
2023,1,Yan Nathalie Xian Yi,3
2023,2,Abdulsalam Bahira,31
2023,2,Acquaye Emmanuel,10
2023,2,Acton Blake,11
2023,2,Ahmed Sharif,30
2023,2,Alam Asadul,9
2023,2,Allan Gru Jesse,12
2023,2,Aly Atef,7
2023,2,Apostolopoulos Dionysios,19
2023,2,Atkinson Darren,8
2023,2,Atkinson Jamie,23
2023,2,Bailão Ana,16943
2023,2,Baking Jose,16
2023,2,Bankas Ben,6
2023,2,Beals Claudette,5
2023,2,Benway Glen,4
2023,2,Bonilla Eliazar,17
2023,2,Bradford Brad,425
2023,2,Brown Chloe,535
2023,2,Buffey Brian,6
2023,2,Caesar-Chavannes Celina,7
2023,2,Carrie Mason,1
2023,2,Chan Roland,16
2023,2,Charlton Matti,5
2023,2,Chevalier Romero Danny,12
2023,2,Chow Olivia,8049
2023,2,Choy Logan,34
2023,2,Clarke Kevin,8
2023,2,Climenhaga Sarah,10
2023,2,Cohen Gordon,7
2023,2,Collins Paul,10
2023,2,D'Amico Frank,25
2023,2,D'Angelo Frank,28
2023,2,Davis Rob,23
2023,2,D'Cruze Phillip,2
2023,2,Deb Samson,5
2023,2,Desai Habiba,5
2023,2,Deville Cory,5
2023,2,Fenby Simryn,2
2023,2,Forrester Monica,19
2023,2,Furey Anthony,3139
2023,2,Furnival Scott,4
2023,2,Gamk Isabella,4
2023,2,Gao Feng,6
2023,2,Gong Xiao Hua,105
2023,2,Goraya Adil,3
2023,2,Graff Brian,2
2023,2,Grosman Ari,7
2023,2,Guglielmin James,7
2023,2,Gulyas David,6
2023,2,Hall Thomas,21
2023,2,Handjis Peter,4
2023,2,He Heather,1
2023,2,Heaps Toby,27
2023,2,Hossain Monowar,6
2023,2,Hunter Mitzie,704
2023,2,Igodan Sheila,3
2023,2,Irmya Daniel,1
2023,2,Jaffery Syed,1
2023,2,Jensen Michael,4
2023,2,Johnston Patricia,6
2023,2,Khan Walayat,5
2023,2,Korovitsyn Serge,4
2023,2,Lamoureux Michael,3
2023,2,Langenfeld Kris,3
2023,2,Lee Rick,7
2023,2,LeLiever Mark,10
2023,2,Letonja John,3
2023,2,MacLeod Norman,6
2023,2,Mammoliti Giorgio,67
2023,2,Mann Steve,3
2023,2,Marshall Cleveland,4
2023,2,Matlow Josh,1063
2023,2,Mohee Faizul,7
2023,2,Murphy Bob,11
2023,2,Nicula Michael,9
2023,2,Nowwarah Jamil,1
2023,2,Perruzza Anthony,102
2023,2,Ransome John,5
2023,2,Renée D!ONNE,9
2023,2,Reodica Willie,4
2023,2,Rubino Walter,2
2023,2,Saccoccia Chris,668
2023,2,Sanders Lyall,227
2023,2,Saunders Mark,5166
2023,2,Schipano Rocco,7
2023,2,Shusterman Robert,3
2023,2,Singh Knia,7
2023,2,Singh Partap Dua,4
2023,2,Sivaneswaran Raksheni,5
2023,2,Sniedzins Erwin,0
2023,2,Srivastava Sandeep,3
2023,2,Straus Meir,11
2023,2,Tang Weizhen,2
2023,2,Toye Mitchell,5
2023,2,Tull Reginald,15
2023,2,Tunney Jeffery,3
2023,2,Vadivelu Kiri,4
2023,2,Weenen Jack,0
2023,2,Wei Yuanqian,2
2023,2,Williams Jody,3
2023,2,Winter John,5
2023,2,Yan Nathalie Xian Yi,6
2023,3,Abdulsalam Bahira,25
2023,3,Acquaye Emmanuel,8
2023,3,Acton Blake,21
2023,3,Ahmed Sharif,16
2023,3,Alam Asadul,5
2023,3,Allan Gru Jesse,19
2023,3,Aly Atef,6
2023,3,Apostolopoulos Dionysios,19
2023,3,Atkinson Darren,10
2023,3,Atkinson Jamie,22
2023,3,Bailão Ana,16967
2023,3,Baking Jose,10
2023,3,Bankas Ben,17
2023,3,Beals Claudette,9
2023,3,Benway Glen,5
2023,3,Bonilla Eliazar,12
2023,3,Bradford Brad,512
2023,3,Brown Chloe,866
2023,3,Buffey Brian,7
2023,3,Caesar-Chavannes Celina,9
2023,3,Carrie Mason,6
2023,3,Chan Roland,20
2023,3,Charlton Matti,4
2023,3,Chevalier Romero Danny,6
2023,3,Chow Olivia,12424
2023,3,Choy Logan,39
2023,3,Clarke Kevin,10
2023,3,Climenhaga Sarah,8
2023,3,Cohen Gordon,1
2023,3,Collins Paul,5
2023,3,D'Amico Frank,17
2023,3,D'Angelo Frank,25
2023,3,Davis Rob,33
2023,3,D'Cruze Phillip,5
2023,3,Deb Samson,3
2023,3,Desai Habiba,3
2023,3,Deville Cory,4
2023,3,Fenby Simryn,3
2023,3,Forrester Monica,16
2023,3,Furey Anthony,2996
2023,3,Furnival Scott,12
2023,3,Gamk Isabella,5
2023,3,Gao Feng,2
2023,3,Gong Xiao Hua,98
2023,3,Goraya Adil,5
2023,3,Graff Brian,5
2023,3,Grosman Ari,8
2023,3,Guglielmin James,5
2023,3,Gulyas David,6
2023,3,Hall Thomas,4
2023,3,Handjis Peter,5
2023,3,He Heather,3
2023,3,Heaps Toby,50
2023,3,Hossain Monowar,2
2023,3,Hunter Mitzie,936
2023,3,Igodan Sheila,3
2023,3,Irmya Daniel,1
2023,3,Jaffery Syed,5
2023,3,Jensen Michael,5
2023,3,Johnston Patricia,7
2023,3,Khan Walayat,0
2023,3,Korovitsyn Serge,8
2023,3,Lamoureux Michael,2
2023,3,Langenfeld Kris,11
2023,3,Lee Rick,5
2023,3,LeLiever Mark,17
2023,3,Letonja John,2
2023,3,MacLeod Norman,6
2023,3,Mammoliti Giorgio,52
2023,3,Mann Steve,8
2023,3,Marshall Cleveland,12
2023,3,Matlow Josh,1387
2023,3,Mohee Faizul,17
2023,3,Murphy Bob,9
2023,3,Nicula Michael,3
2023,3,Nowwarah Jamil,0
2023,3,Perruzza Anthony,70
2023,3,Ransome John,1
2023,3,Renée D!ONNE,8
2023,3,Reodica Willie,10
2023,3,Rubino Walter,2
2023,3,Saccoccia Chris,614
2023,3,Sanders Lyall,178
2023,3,Saunders Mark,4306
2023,3,Schipano Rocco,7
2023,3,Shusterman Robert,2
2023,3,Singh Knia,11
2023,3,Singh Partap Dua,5
2023,3,Sivaneswaran Raksheni,5
2023,3,Sniedzins Erwin,4
2023,3,Srivastava Sandeep,3
2023,3,Straus Meir,5
2023,3,Tang Weizhen,1
2023,3,Toye Mitchell,3
2023,3,Tull Reginald,19
2023,3,Tunney Jeffery,7
2023,3,Vadivelu Kiri,6
2023,3,Weenen Jack,1
2023,3,Wei Yuanqian,2
2023,3,Williams Jody,5
2023,3,Winter John,7
2023,3,Yan Nathalie Xian Yi,8
2023,4,Abdulsalam Bahira,24
2023,4,Acquaye Emmanuel,7
2023,4,Acton Blake,10
2023,4,Ahmed Sharif,13
2023,4,Alam Asadul,5
2023,4,Allan Gru Jesse,12
2023,4,Aly Atef,7
2023,4,Apostolopoulos Dionysios,19
2023,4,Atkinson Darren,11
2023,4,Atkinson Jamie,18
2023,4,Bailão Ana,10181
2023,4,Baking Jose,7
2023,4,Bankas Ben,13
2023,4,Beals Claudette,4
2023,4,Benway Glen,6
2023,4,Bonilla Eliazar,4
2023,4,Bradford Brad,356
2023,4,Brown Chloe,1330
2023,4,Buffey Brian,4
2023,4,Caesar-Chavannes Celina,10
2023,4,Carrie Mason,5
2023,4,Chan Roland,8
2023,4,Charlton Matti,2
2023,4,Chevalier Romero Danny,16
2023,4,Chow Olivia,19569
2023,4,Choy Logan,29
2023,4,Clarke Kevin,14
2023,4,Climenhaga Sarah,13
2023,4,Cohen Gordon,7
2023,4,Collins Paul,8
2023,4,D'Amico Frank,3
2023,4,D'Angelo Frank,6
2023,4,Davis Rob,15
2023,4,D'Cruze Phillip,1
2023,4,Deb Samson,5
2023,4,Desai Habiba,3
2023,4,Deville Cory,3
2023,4,Fenby Simryn,4
2023,4,Forrester Monica,14
2023,4,Furey Anthony,1695
2023,4,Furnival Scott,3
2023,4,Gamk Isabella,5
2023,4,Gao Feng,8
2023,4,Gong Xiao Hua,59
2023,4,Goraya Adil,2
2023,4,Graff Brian,5
2023,4,Grosman Ari,8
2023,4,Guglielmin James,1
2023,4,Gulyas David,6
2023,4,Hall Thomas,4
2023,4,Handjis Peter,3
2023,4,He Heather,5
2023,4,Heaps Toby,51
2023,4,Hossain Monowar,5
2023,4,Hunter Mitzie,980
2023,4,Igodan Sheila,0
2023,4,Irmya Daniel,3
2023,4,Jaffery Syed,2
2023,4,Jensen Michael,3
2023,4,Johnston Patricia,6
2023,4,Khan Walayat,3
2023,4,Korovitsyn Serge,8
2023,4,Lamoureux Michael,3
2023,4,Langenfeld Kris,6
2023,4,Lee Rick,6
2023,4,LeLiever Mark,9
2023,4,Letonja John,3
2023,4,MacLeod Norman,6
2023,4,Mammoliti Giorgio,31
2023,4,Mann Steve,1
2023,4,Marshall Cleveland,13
2023,4,Matlow Josh,2056
2023,4,Mohee Faizul,5
2023,4,Murphy Bob,9
2023,4,Nicula Michael,4
2023,4,Nowwarah Jamil,1
2023,4,Perruzza Anthony,30
2023,4,Ransome John,2
2023,4,Renée D!ONNE,9
2023,4,Reodica Willie,7
2023,4,Rubino Walter,2
2023,4,Saccoccia Chris,279
2023,4,Sanders Lyall,83
2023,4,Saunders Mark,1892
2023,4,Schipano Rocco,1
2023,4,Shusterman Robert,3
2023,4,Singh Knia,7
2023,4,Singh Partap Dua,4
2023,4,Sivaneswaran Raksheni,8
2023,4,Sniedzins Erwin,1
2023,4,Srivastava Sandeep,4
2023,4,Straus Meir,4
2023,4,Tang Weizhen,3
2023,4,Toye Mitchell,3
2023,4,Tull Reginald,11
2023,4,Tunney Jeffery,3
2023,4,Vadivelu Kiri,14
2023,4,Weenen Jack,0
2023,4,Wei Yuanqian,1
2023,4,Williams Jody,7
2023,4,Winter John,4
2023,4,Yan Nathalie Xian Yi,4
2023,5,Abdulsalam Bahira,33
2023,5,Acquaye Emmanuel,11
2023,5,Acton Blake,9
2023,5,Ahmed Sharif,43
2023,5,Alam Asadul,21
2023,5,Allan Gru Jesse,17
2023,5,Aly Atef,5
2023,5,Apostolopoulos Dionysios,17
2023,5,Atkinson Darren,7
2023,5,Atkinson Jamie,20
2023,5,Bailão Ana,9826
2023,5,Baking Jose,24
2023,5,Bankas Ben,10
2023,5,Beals Claudette,7
2023,5,Benway Glen,6
2023,5,Bonilla Eliazar,23
2023,5,Bradford Brad,240
2023,5,Brown Chloe,718
2023,5,Buffey Brian,4
2023,5,Caesar-Chavannes Celina,14
2023,5,Carrie Mason,14
2023,5,Chan Roland,27
2023,5,Charlton Matti,6
2023,5,Chevalier Romero Danny,14
2023,5,Chow Olivia,7399
2023,5,Choy Logan,34
2023,5,Clarke Kevin,5
2023,5,Climenhaga Sarah,5
2023,5,Cohen Gordon,5
2023,5,Collins Paul,5
2023,5,D'Amico Frank,33
2023,5,D'Angelo Frank,33
2023,5,Davis Rob,17
2023,5,D'Cruze Phillip,6
2023,5,Deb Samson,7
2023,5,Desai Habiba,8
2023,5,Deville Cory,6
2023,5,Fenby Simryn,2
2023,5,Forrester Monica,18
2023,5,Furey Anthony,1163
2023,5,Furnival Scott,1
2023,5,Gamk Isabella,5
2023,5,Gao Feng,10
2023,5,Gong Xiao Hua,134
2023,5,Goraya Adil,6
2023,5,Graff Brian,1
2023,5,Grosman Ari,7
2023,5,Guglielmin James,3
2023,5,Gulyas David,3
2023,5,Hall Thomas,18
2023,5,Handjis Peter,4
2023,5,He Heather,6
2023,5,Heaps Toby,22
2023,5,Hossain Monowar,22
2023,5,Hunter Mitzie,657
2023,5,Igodan Sheila,1
2023,5,Irmya Daniel,1
2023,5,Jaffery Syed,3
2023,5,Jensen Michael,4
2023,5,Johnston Patricia,11
2023,5,Khan Walayat,3
2023,5,Korovitsyn Serge,0
2023,5,Lamoureux Michael,5
2023,5,Langenfeld Kris,3
2023,5,Lee Rick,5
2023,5,LeLiever Mark,12
2023,5,Letonja John,3
2023,5,MacLeod Norman,3
2023,5,Mammoliti Giorgio,84
2023,5,Mann Steve,6
2023,5,Marshall Cleveland,16
2023,5,Matlow Josh,617
2023,5,Mohee Faizul,11
2023,5,Murphy Bob,16
2023,5,Nicula Michael,5
2023,5,Nowwarah Jamil,4
2023,5,Perruzza Anthony,133
2023,5,Ransome John,5
2023,5,Renée D!ONNE,17
2023,5,Reodica Willie,10
2023,5,Rubino Walter,3
2023,5,Saccoccia Chris,550
2023,5,Sanders Lyall,162
2023,5,Saunders Mark,2470
2023,5,Schipano Rocco,9
2023,5,Shusterman Robert,4
2023,5,Singh Knia,9
2023,5,Singh Partap Dua,4
2023,5,Sivaneswaran Raksheni,9
2023,5,Sniedzins Erwin,0
2023,5,Srivastava Sandeep,1
2023,5,Straus Meir,1
2023,5,Tang Weizhen,7
2023,5,Toye Mitchell,2
2023,5,Tull Reginald,22
2023,5,Tunney Jeffery,3
2023,5,Vadivelu Kiri,4
2023,5,Weenen Jack,1
2023,5,Wei Yuanqian,1
2023,5,Williams Jody,8
2023,5,Winter John,7
2023,5,Yan Nathalie Xian Yi,8
2023,6,Abdulsalam Bahira,24
2023,6,Acquaye Emmanuel,8
2023,6,Acton Blake,10
2023,6,Ahmed Sharif,22
2023,6,Alam Asadul,3
2023,6,Allan Gru Jesse,18
2023,6,Aly Atef,7
2023,6,Apostolopoulos Dionysios,13
2023,6,Atkinson Darren,17
2023,6,Atkinson Jamie,17
2023,6,Bailão Ana,9411
2023,6,Baking Jose,14
2023,6,Bankas Ben,10
2023,6,Beals Claudette,8
2023,6,Benway Glen,8
2023,6,Bonilla Eliazar,13
2023,6,Bradford Brad,250
2023,6,Brown Chloe,465
2023,6,Buffey Brian,5
2023,6,Caesar-Chavannes Celina,16
2023,6,Carrie Mason,8
2023,6,Chan Roland,9
2023,6,Charlton Matti,6
2023,6,Chevalier Romero Danny,9
2023,6,Chow Olivia,5444
2023,6,Choy Logan,14
2023,6,Clarke Kevin,8
2023,6,Climenhaga Sarah,7
2023,6,Cohen Gordon,28
2023,6,Collins Paul,6
2023,6,D'Amico Frank,31
2023,6,D'Angelo Frank,21
2023,6,Davis Rob,20
2023,6,D'Cruze Phillip,2
2023,6,Deb Samson,6
2023,6,Desai Habiba,3
2023,6,Deville Cory,0
2023,6,Fenby Simryn,7
2023,6,Forrester Monica,11
2023,6,Furey Anthony,1408
2023,6,Furnival Scott,8
2023,6,Gamk Isabella,3
2023,6,Gao Feng,13
2023,6,Gong Xiao Hua,155
2023,6,Goraya Adil,5
2023,6,Graff Brian,3
2023,6,Grosman Ari,22
2023,6,Guglielmin James,5
2023,6,Gulyas David,8
2023,6,Hall Thomas,21
2023,6,Handjis Peter,1
2023,6,He Heather,4
2023,6,Heaps Toby,11
2023,6,Hossain Monowar,5
2023,6,Hunter Mitzie,418
2023,6,Igodan Sheila,0
2023,6,Irmya Daniel,0
2023,6,Jaffery Syed,0
2023,6,Jensen Michael,3
2023,6,Johnston Patricia,12
2023,6,Khan Walayat,2
2023,6,Korovitsyn Serge,16
2023,6,Lamoureux Michael,5
2023,6,Langenfeld Kris,7
2023,6,Lee Rick,14
2023,6,LeLiever Mark,5
2023,6,Letonja John,0
2023,6,MacLeod Norman,6
2023,6,Mammoliti Giorgio,87
2023,6,Mann Steve,7
2023,6,Marshall Cleveland,4
2023,6,Matlow Josh,905
2023,6,Mohee Faizul,1
2023,6,Murphy Bob,9
2023,6,Nicula Michael,6
2023,6,Nowwarah Jamil,3
2023,6,Perruzza Anthony,320
2023,6,Ransome John,5
2023,6,Renée D!ONNE,7
2023,6,Reodica Willie,8
2023,6,Rubino Walter,10
2023,6,Saccoccia Chris,378
2023,6,Sanders Lyall,152
2023,6,Saunders Mark,2557
2023,6,Schipano Rocco,4
2023,6,Shusterman Robert,24
2023,6,Singh Knia,3
2023,6,Singh Partap Dua,5
2023,6,Sivaneswaran Raksheni,8
2023,6,Sniedzins Erwin,0
2023,6,Srivastava Sandeep,4
2023,6,Straus Meir,15
2023,6,Tang Weizhen,1
2023,6,Toye Mitchell,4
2023,6,Tull Reginald,6
2023,6,Tunney Jeffery,1
2023,6,Vadivelu Kiri,1
2023,6,Weenen Jack,0
2023,6,Wei Yuanqian,2
2023,6,Williams Jody,10
2023,6,Winter John,6
2023,6,Yan Nathalie Xian Yi,11
2023,7,Abdulsalam Bahira,29
2023,7,Acquaye Emmanuel,27
2023,7,Acton Blake,11
2023,7,Ahmed Sharif,18
2023,7,Alam Asadul,12
2023,7,Allan Gru Jesse,12
2023,7,Aly Atef,10
2023,7,Apostolopoulos Dionysios,13
2023,7,Atkinson Darren,7
2023,7,Atkinson Jamie,12
2023,7,Bailão Ana,4487
2023,7,Baking Jose,14
2023,7,Bankas Ben,6
2023,7,Beals Claudette,8
2023,7,Benway Glen,8
2023,7,Bonilla Eliazar,20
2023,7,Bradford Brad,123
2023,7,Brown Chloe,493
2023,7,Buffey Brian,3
2023,7,Caesar-Chavannes Celina,12
2023,7,Carrie Mason,5
2023,7,Chan Roland,18
2023,7,Charlton Matti,10
2023,7,Chevalier Romero Danny,19
2023,7,Chow Olivia,4485
2023,7,Choy Logan,32
2023,7,Clarke Kevin,12
2023,7,Climenhaga Sarah,9
2023,7,Cohen Gordon,4
2023,7,Collins Paul,7
2023,7,D'Amico Frank,24
2023,7,D'Angelo Frank,26
2023,7,Davis Rob,10
2023,7,D'Cruze Phillip,0
2023,7,Deb Samson,13
2023,7,Desai Habiba,9
2023,7,Deville Cory,3
2023,7,Fenby Simryn,6
2023,7,Forrester Monica,10
2023,7,Furey Anthony,663
2023,7,Furnival Scott,5
2023,7,Gamk Isabella,3
2023,7,Gao Feng,26
2023,7,Gong Xiao Hua,149
2023,7,Goraya Adil,11
2023,7,Graff Brian,3
2023,7,Grosman Ari,9
2023,7,Guglielmin James,7
2023,7,Gulyas David,2
2023,7,Hall Thomas,10
2023,7,Handjis Peter,6
2023,7,He Heather,6
2023,7,Heaps Toby,11
2023,7,Hossain Monowar,4
2023,7,Hunter Mitzie,409
2023,7,Igodan Sheila,6
2023,7,Irmya Daniel,2
2023,7,Jaffery Syed,5
2023,7,Jensen Michael,4
2023,7,Johnston Patricia,11
2023,7,Khan Walayat,10
2023,7,Korovitsyn Serge,2
2023,7,Lamoureux Michael,6
2023,7,Langenfeld Kris,3
2023,7,Lee Rick,11
2023,7,LeLiever Mark,13
2023,7,Letonja John,2
2023,7,MacLeod Norman,5
2023,7,Mammoliti Giorgio,238
2023,7,Mann Steve,8
2023,7,Marshall Cleveland,6
2023,7,Matlow Josh,239
2023,7,Mohee Faizul,7
2023,7,Murphy Bob,6
2023,7,Nicula Michael,6
2023,7,Nowwarah Jamil,4
2023,7,Perruzza Anthony,1705
2023,7,Ransome John,12
2023,7,Renée D!ONNE,8
2023,7,Reodica Willie,6
2023,7,Rubino Walter,3
2023,7,Saccoccia Chris,303
2023,7,Sanders Lyall,110
2023,7,Saunders Mark,1710
2023,7,Schipano Rocco,2
2023,7,Shusterman Robert,5
2023,7,Singh Knia,11
2023,7,Singh Partap Dua,11
2023,7,Sivaneswaran Raksheni,19
2023,7,Sniedzins Erwin,1
2023,7,Srivastava Sandeep,3
2023,7,Straus Meir,4
2023,7,Tang Weizhen,13
2023,7,Toye Mitchell,4
2023,7,Tull Reginald,4
2023,7,Tunney Jeffery,2
2023,7,Vadivelu Kiri,7
2023,7,Weenen Jack,1
2023,7,Wei Yuanqian,5
2023,7,Williams Jody,24
2023,7,Winter John,8
2023,7,Yan Nathalie Xian Yi,10
2023,8,Abdulsalam Bahira,16
2023,8,Acquaye Emmanuel,3
2023,8,Acton Blake,5
2023,8,Ahmed Sharif,12
2023,8,Alam Asadul,13
2023,8,Allan Gru Jesse,6
2023,8,Aly Atef,4
2023,8,Apostolopoulos Dionysios,17
2023,8,Atkinson Darren,4
2023,8,Atkinson Jamie,16
2023,8,Bailão Ana,16121
2023,8,Baking Jose,15
2023,8,Bankas Ben,9
2023,8,Beals Claudette,6
2023,8,Benway Glen,5
2023,8,Bonilla Eliazar,9
2023,8,Bradford Brad,353
2023,8,Brown Chloe,539
2023,8,Buffey Brian,2
2023,8,Caesar-Chavannes Celina,3
2023,8,Carrie Mason,9
2023,8,Chan Roland,15
2023,8,Charlton Matti,5
2023,8,Chevalier Romero Danny,9
2023,8,Chow Olivia,8183
2023,8,Choy Logan,24
2023,8,Clarke Kevin,10
2023,8,Climenhaga Sarah,5
2023,8,Cohen Gordon,25
2023,8,Collins Paul,15
2023,8,D'Amico Frank,30
2023,8,D'Angelo Frank,16
2023,8,Davis Rob,15
2023,8,D'Cruze Phillip,3
2023,8,Deb Samson,5
2023,8,Desai Habiba,0
2023,8,Deville Cory,6
2023,8,Fenby Simryn,4
2023,8,Forrester Monica,11
2023,8,Furey Anthony,1828
2023,8,Furnival Scott,4
2023,8,Gamk Isabella,2
2023,8,Gao Feng,4
2023,8,Gong Xiao Hua,94
2023,8,Goraya Adil,0
2023,8,Graff Brian,3
2023,8,Grosman Ari,24
2023,8,Guglielmin James,6
2023,8,Gulyas David,5
2023,8,Hall Thomas,7
2023,8,Handjis Peter,1
2023,8,He Heather,2
2023,8,Heaps Toby,25
2023,8,Hossain Monowar,3
2023,8,Hunter Mitzie,543
2023,8,Igodan Sheila,2
2023,8,Irmya Daniel,3
2023,8,Jaffery Syed,0
2023,8,Jensen Michael,2
2023,8,Johnston Patricia,3
2023,8,Khan Walayat,3
2023,8,Korovitsyn Serge,6
2023,8,Lamoureux Michael,5
2023,8,Langenfeld Kris,5
2023,8,Lee Rick,4
2023,8,LeLiever Mark,5
2023,8,Letonja John,0
2023,8,MacLeod Norman,7
2023,8,Mammoliti Giorgio,77
2023,8,Mann Steve,2
2023,8,Marshall Cleveland,12
2023,8,Matlow Josh,2668
2023,8,Mohee Faizul,6
2023,8,Murphy Bob,7
2023,8,Nicula Michael,1
2023,8,Nowwarah Jamil,0
2023,8,Perruzza Anthony,61
2023,8,Ransome John,1
2023,8,Renée D!ONNE,7
2023,8,Reodica Willie,5
2023,8,Rubino Walter,1
2023,8,Saccoccia Chris,299
2023,8,Sanders Lyall,124
2023,8,Saunders Mark,2932
2023,8,Schipano Rocco,3
2023,8,Shusterman Robert,16
2023,8,Singh Knia,7
2023,8,Singh Partap Dua,5
2023,8,Sivaneswaran Raksheni,2
2023,8,Sniedzins Erwin,5
2023,8,Srivastava Sandeep,2
2023,8,Straus Meir,19
2023,8,Tang Weizhen,5
2023,8,Toye Mitchell,0
2023,8,Tull Reginald,16
2023,8,Tunney Jeffery,6
2023,8,Vadivelu Kiri,0
2023,8,Weenen Jack,2
2023,8,Wei Yuanqian,2
2023,8,Williams Jody,4
2023,8,Winter John,5
2023,8,Yan Nathalie Xian Yi,3
2023,9,Abdulsalam Bahira,21
2023,9,Acquaye Emmanuel,7
2023,9,Acton Blake,4
2023,9,Ahmed Sharif,9
2023,9,Alam Asadul,6
2023,9,Allan Gru Jesse,6
2023,9,Aly Atef,6
2023,9,Apostolopoulos Dionysios,22
2023,9,Atkinson Darren,5
2023,9,Atkinson Jamie,15
2023,9,Bailão Ana,10312
2023,9,Baking Jose,14
2023,9,Bankas Ben,9
2023,9,Beals Claudette,7
2023,9,Benway Glen,7
2023,9,Bonilla Eliazar,8
2023,9,Bradford Brad,161
2023,9,Brown Chloe,1438
2023,9,Buffey Brian,4
2023,9,Caesar-Chavannes Celina,10
2023,9,Carrie Mason,2
2023,9,Chan Roland,11
2023,9,Charlton Matti,2
2023,9,Chevalier Romero Danny,9
2023,9,Chow Olivia,17031
2023,9,Choy Logan,34
2023,9,Clarke Kevin,7
2023,9,Climenhaga Sarah,12
2023,9,Cohen Gordon,3
2023,9,Collins Paul,6
2023,9,D'Amico Frank,94
2023,9,D'Angelo Frank,18
2023,9,Davis Rob,7
2023,9,D'Cruze Phillip,1
2023,9,Deb Samson,7
2023,9,Desai Habiba,4
2023,9,Deville Cory,1
2023,9,Fenby Simryn,1
2023,9,Forrester Monica,8
2023,9,Furey Anthony,935
2023,9,Furnival Scott,3
2023,9,Gamk Isabella,4
2023,9,Gao Feng,4
2023,9,Gong Xiao Hua,55
2023,9,Goraya Adil,6
2023,9,Graff Brian,4
2023,9,Grosman Ari,1
2023,9,Guglielmin James,1
2023,9,Gulyas David,5
2023,9,Hall Thomas,3
2023,9,Handjis Peter,2
2023,9,He Heather,4
2023,9,Heaps Toby,25
2023,9,Hossain Monowar,1
2023,9,Hunter Mitzie,612
2023,9,Igodan Sheila,0
2023,9,Irmya Daniel,2
2023,9,Jaffery Syed,4
2023,9,Jensen Michael,3
2023,9,Johnston Patricia,11
2023,9,Khan Walayat,3
2023,9,Korovitsyn Serge,0
2023,9,Lamoureux Michael,5
2023,9,Langenfeld Kris,6
2023,9,Lee Rick,4
2023,9,LeLiever Mark,8
2023,9,Letonja John,2
2023,9,MacLeod Norman,4
2023,9,Mammoliti Giorgio,23
2023,9,Mann Steve,5
2023,9,Marshall Cleveland,8
2023,9,Matlow Josh,1381
2023,9,Mohee Faizul,3
2023,9,Murphy Bob,7
2023,9,Nicula Michael,1
2023,9,Nowwarah Jamil,2
2023,9,Perruzza Anthony,31
2023,9,Ransome John,1
2023,9,Renée D!ONNE,16
2023,9,Reodica Willie,3
2023,9,Rubino Walter,2
2023,9,Saccoccia Chris,347
2023,9,Sanders Lyall,55
2023,9,Saunders Mark,1240
2023,9,Schipano Rocco,3
2023,9,Shusterman Robert,3
2023,9,Singh Knia,6
2023,9,Singh Partap Dua,4
2023,9,Sivaneswaran Raksheni,1
2023,9,Sniedzins Erwin,1
2023,9,Srivastava Sandeep,3
2023,9,Straus Meir,2
2023,9,Tang Weizhen,1
2023,9,Toye Mitchell,0
2023,9,Tull Reginald,6
2023,9,Tunney Jeffery,2
2023,9,Vadivelu Kiri,5
2023,9,Weenen Jack,0
2023,9,Wei Yuanqian,0
2023,9,Williams Jody,4
2023,9,Winter John,1
2023,9,Yan Nathalie Xian Yi,2
2023,10,Abdulsalam Bahira,21
2023,10,Acquaye Emmanuel,5
2023,10,Acton Blake,8
2023,10,Ahmed Sharif,7
2023,10,Alam Asadul,6
2023,10,Allan Gru Jesse,4
2023,10,Aly Atef,4
2023,10,Apostolopoulos Dionysios,11
2023,10,Atkinson Darren,4
2023,10,Atkinson Jamie,9
2023,10,Bailão Ana,8206
2023,10,Baking Jose,7
2023,10,Bankas Ben,9
2023,10,Beals Claudette,2
2023,10,Benway Glen,4
2023,10,Bonilla Eliazar,7
2023,10,Bradford Brad,497
2023,10,Brown Chloe,1639
2023,10,Buffey Brian,2
2023,10,Caesar-Chavannes Celina,9
2023,10,Carrie Mason,0
2023,10,Chan Roland,15
2023,10,Charlton Matti,4
2023,10,Chevalier Romero Danny,12
2023,10,Chow Olivia,16688
2023,10,Choy Logan,28
2023,10,Clarke Kevin,6
2023,10,Climenhaga Sarah,9
2023,10,Cohen Gordon,9
2023,10,Collins Paul,6
2023,10,D'Amico Frank,10
2023,10,D'Angelo Frank,8
2023,10,Davis Rob,14
2023,10,D'Cruze Phillip,2
2023,10,Deb Samson,0
2023,10,Desai Habiba,5
2023,10,Deville Cory,4
2023,10,Fenby Simryn,3
2023,10,Forrester Monica,4
2023,10,Furey Anthony,1251
2023,10,Furnival Scott,3
2023,10,Gamk Isabella,2
2023,10,Gao Feng,5
2023,10,Gong Xiao Hua,64
2023,10,Goraya Adil,1
2023,10,Graff Brian,3
2023,10,Grosman Ari,5
2023,10,Guglielmin James,1
2023,10,Gulyas David,6
2023,10,Hall Thomas,4
2023,10,Handjis Peter,1
2023,10,He Heather,9
2023,10,Heaps Toby,40
2023,10,Hossain Monowar,5
2023,10,Hunter Mitzie,888
2023,10,Igodan Sheila,3
2023,10,Irmya Daniel,1
2023,10,Jaffery Syed,1
2023,10,Jensen Michael,3
2023,10,Johnston Patricia,4
2023,10,Khan Walayat,2
2023,10,Korovitsyn Serge,7
