poll_sample_id,election_cycle_id,pollster,sponsor,geography_type,geography_id,fieldwork_start,fieldwork_end,publication_date,publication_at,publication_time_precision,evidence_available_at,collection_mode,recruited_sample_size,extraction_status,notes
viewpoints_city_2023_06_01_02_n1004,toronto_2023,Viewpoints Research,Broadbent Institute,citywide,toronto,2023-06-01,2023-06-02,2023-06-08,,date_only,2023-06-09T00:00:00-04:00,online,1004,extracted,First-party release says the online survey covered Torontonians aged 18 and over who said they intended to vote and used regional quotas. The PDF says results were weighted by Toronto gender and age.
ipsos_city_2023_06_09_13_n1001,toronto_2023,Ipsos,Global News and Toronto Star,citywide,toronto,2023-06-09,2023-06-13,2023-06-19,,date_only,2023-06-20T00:00:00-04:00,mixed_online_live_phone,1001,extracted,Factum reports 701 eligible Toronto voters aged 18+ interviewed online through panel and non-panel sources and 300 interviewed by live telephone using landline and cellphone RDD. Quotas and weighting balanced demographics to Census data.
forum_city_2022_10_07_08_n1017,toronto_2022,Forum Research,Forum Research Inc.,citywide,toronto,2022-10-07,2022-10-08,2022-10-11,,date_only,2022-10-12T00:00:00-04:00,ivr,1017,extracted,Eligible Toronto voters; Forum reports sponsorship by Forum Research Inc. as a public service.
forum_city_2023_02_13_n1042,toronto_2023,Forum Research,Toronto Star,citywide,toronto,2023-02-13,2023-02-13,2023-02-14,,date_only,2023-02-15T00:00:00-05:00,ivr,1042,extracted,"Internal source conflict preserved: release prose says 1,042 Toronto residents, while the methodology says randomly selected Ontario residents. The Toronto-specific tables and release context identify the intended geography, but the methodology wording is not silently corrected."
forum_city_2023_03_22_23_n1009,toronto_2023,Forum Research,Toronto Star,citywide,toronto,2023-03-22,2023-03-23,2023-03-24,,date_only,2023-03-25T00:00:00-04:00,ivr,1009,extracted,Toronto residents age 18+; 62% cellphone and 38% landline IVR.
forum_city_2023_04_25_26_n1022,toronto_2023,Forum Research,,citywide,toronto,2023-04-25,2023-04-26,2023-04-27,,date_only,2023-04-28T00:00:00-04:00,ivr,1022,extracted,Two first-party releases report dependent readings from this one respondent sample: the current field and a hypothetical field conditioned on John Tory running.
forum_city_2023_05_06_07_n2000,toronto_2023,Forum Research,,citywide,toronto,2023-05-06,2023-05-07,2023-05-08,,date_only,2023-05-09T00:00:00-04:00,ivr,2000,extracted,Two first-party releases report dependent readings from this one respondent sample: the current field and a hypothetical field conditioned on John Tory running.
forum_city_2023_05_13_n1029,toronto_2023,Forum Research,,citywide,toronto,2023-05-13,2023-05-13,2023-05-15,,date_only,2023-05-16T00:00:00-04:00,ivr,1029,extracted,Source fieldwork is May 13; the legacy proxy date is May 14 and does not match the source fieldwork or May 15 release date.
forum_city_2023_05_19_n1000,toronto_2023,Forum Research,,citywide,toronto,2023-05-19,2023-05-19,2023-05-21,,date_only,2023-05-22T00:00:00-04:00,ivr,1000,extracted,Source fieldwork is May 19; the legacy proxy date is May 20 and does not match the source fieldwork or May 21 release date.
forum_city_2023_05_26_n1007,toronto_2023,Forum Research,,citywide,toronto,2023-05-26,2023-05-26,2023-05-28,,date_only,2023-05-29T00:00:00-04:00,ivr,1007,extracted,Source fieldwork is May 26; the legacy proxy date is May 27 and does not match the source fieldwork or May 28 release date.
forum_city_2023_06_02_n1032,toronto_2023,Forum Research,,citywide,toronto,2023-06-02,2023-06-02,2023-06-04,,date_only,2023-06-05T00:00:00-04:00,ivr,1032,extracted,The tables explicitly distinguish TOTAL (u/w) and TOTAL (w/t); both are retained at reading level.
forum_city_2023_06_09_n1047,toronto_2023,Forum Research,,citywide,toronto,2023-06-09,2023-06-09,2023-06-11,,date_only,2023-06-12T00:00:00-04:00,ivr,1047,extracted,The tables explicitly distinguish TOTAL (u/w) and TOTAL (w/t); both are retained at reading level.
forum_city_2023_06_23_n1037,toronto_2023,Forum Research,,citywide,toronto,2023-06-23,2023-06-23,2023-06-24,,date_only,2023-06-25T00:00:00-04:00,ivr,1037,extracted,"Source conflict preserved: release prose reports a recruited sample of 1,037, while all ballot tables print TOTAL (u/w)=1,035 and TOTAL (w/t)=1,035. Reading-level bases follow the tables."
liaison_city_2023_04_21_22_n1264,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-04-21,2023-04-22,2023-04-24,,date_only,2023-04-25T00:00:00-04:00,ivr,1264,extracted,"The first-party release reports IVR fieldwork among 1,264 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_04_28_29_n1253,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-04-28,2023-04-29,2023-05-01,,date_only,2023-05-02T00:00:00-04:00,ivr,1253,extracted,"The first-party release reports IVR fieldwork among 1,253 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_05_05_06_n1257,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-05-05,2023-05-06,2023-05-08,,date_only,2023-05-09T00:00:00-04:00,ivr,1257,extracted,"The first-party release reports IVR fieldwork among 1,257 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_05_12_13_n1318,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-05-12,2023-05-13,2023-05-15,,date_only,2023-05-16T00:00:00-04:00,ivr,1318,extracted,"The matched detailed report reports IVR fieldwork among 1,318 Torontonians screened for voter eligibility for the National Ethnic Press and Media Council of Canada. The release instead prints 1,257; the detailed report controls."
liaison_city_2023_05_17_18_n1311,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-05-17,2023-05-18,2023-05-20,,date_only,2023-05-21T00:00:00-04:00,ivr,1311,extracted,"The first-party release reports IVR fieldwork among 1,311 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_05_26_27_n1305,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-05-26,2023-05-27,2023-05-29,,date_only,2023-05-30T00:00:00-04:00,ivr,1305,extracted,"The first-party release reports IVR fieldwork among 1,305 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_06_03_04_n1287,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-06-03,2023-06-04,2023-06-06,,date_only,2023-06-07T00:00:00-04:00,ivr,1287,extracted,"The first-party release reports IVR fieldwork among 1,287 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_06_10_11_n1197,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-06-10,2023-06-11,2023-06-13,,date_only,2023-06-14T00:00:00-04:00,ivr,1197,extracted,"The first-party release reports IVR fieldwork among 1,197 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_06_12_13_n1156,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-06-12,2023-06-13,2023-06-15,,date_only,2023-06-16T00:00:00-04:00,ivr,1156,extracted,"The first-party release reports IVR fieldwork among 1,156 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_06_17_18_n1152,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-06-17,2023-06-18,2023-06-20,,date_only,2023-06-21T00:00:00-04:00,ivr,1152,extracted,"The first-party release reports IVR fieldwork among 1,152 Toronto voters for the National Ethnic Press and Media Council of Canada."
liaison_city_2023_06_22_23_n1086,toronto_2023,Liaison Strategies,National Ethnic Press and Media Council of Canada,citywide,toronto,2023-06-22,2023-06-23,2023-06-24,,date_only,2023-06-25T00:00:00-04:00,ivr,1086,extracted,"The first-party release reports IVR fieldwork among 1,086 Toronto voters for the National Ethnic Press and Media Council of Canada."
mainstreet_city_2023_02_13_14_n1947,toronto_2023,Mainstreet Research,QP Briefing,citywide,toronto,2023-02-13,2023-02-14,2023-02-17,2023-02-17T17:45:19.612-05:00,exact,2023-02-17T17:45:19.612-05:00,smart-ivr,1947,extracted,"QP Briefing's owning article records publishedAt 2023-02-17T22:45:19.612Z (5:45:19 p.m. EST). Its visible page renders 10:45 p.m., but the first Wayback capture already existed at 8:39:09 p.m. EST, so that visible hour cannot be the literal release time; the machine-readable timestamp controls. The report describes 1,947 Toronto adults age 18+ interviewed on landlines and cellphones in English and Mandarin; intended to represent Toronto's voting population. One all-voter mayoral reading was published."
mainstreet_city_2023_02_19_n1701,toronto_2023,Mainstreet Research,QP Briefing,citywide,toronto,2023-02-19,2023-02-19,2023-02-21,,date_only,2023-03-07T10:07:21-05:00,smart-ivr,1701,extracted,"No clean first-party release-page body survives. publication_date is the PDF's embedded creation date, not a claim that public release occurred at creation; evidence_available_at is the first verified archived-original PDF capture. The report describes 1,701 Toronto adults age 18+ interviewed on landlines and cellphones in English and Mandarin. One all-voter mayoral reading was published."
mainstreet_city_2023_03_17_19_n985,toronto_2023,Mainstreet Research,,citywide,toronto,2023-03-17,2023-03-19,2023-03-20,2023-03-20T11:00:46-04:00,exact,2023-03-20T11:00:46-04:00,smart-ivr,985,extracted,The clean archived first-party release page reports datePublished 2023-03-20T15:00:46Z. The report describes 985 Toronto adults age 18+ interviewed on landlines and cellphones in English. Two dependent all-respondent mayoral ballot fields were published from this sample.
mainstreet_city_2023_04_12_13_n785,toronto_2023,Mainstreet Research,,citywide,toronto,2023-04-12,2023-04-13,2023-04-14,2023-04-14T19:24:15-04:00,exact,2023-04-14T19:24:15-04:00,smart-ivr,785,extracted,The clean archived first-party release page reports datePublished 2023-04-14T23:24:15Z. The report describes 785 Toronto adults age 18+ interviewed on landlines and cellphones in English. The main all-voter ballot and a routed alternate ballot among Olivia Chow respondents are dependent readings from this sample.
mainstreet_city_2023_04_17_19_n1082,toronto_2023,Mainstreet Research,QP Briefing,citywide,toronto,2023-04-17,2023-04-19,2023-04-21,,date_only,2023-04-22T00:00:00-04:00,smart-ivr,1082,extracted,"The first-party release page survives only as a 596-byte Incapsula block, while the clean first-party PDF was archived Apr. 21 and contemporary public references describe publication that day. Date-only evidence is conservatively eligible at the next Toronto midnight. The report describes 1,082 Toronto adults age 18+ interviewed on landlines and cellphones in English. It prints all-voter, Decided and Undecided, and decided-voter products as dependent readings; the first two are identical as published."
mainstreet_city_2023_04_25_26_n996,toronto_2023,Mainstreet Research,QP Briefing,citywide,toronto,2023-04-25,2023-04-26,2023-04-28,2023-04-28T04:00:14-04:00,exact,2023-04-28T04:00:14-04:00,smart-ivr,996,extracted,"The clean archived first-party release page reports datePublished 2023-04-28T08:00:14Z. The report describes 996 Toronto adults age 18+ interviewed on landlines and cellphones in English. All-voter, Decided and Undecided, and decided-voter products are dependent readings from this sample."
forum_city_2014_04_14_n882,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-04-14,2014-04-14,2014-04-15,,date_only,2014-04-16T00:00:00-04:00,ivr,882,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_05_01_n888,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-05-01,2014-05-01,2014-05-02,,date_only,2014-05-03T00:00:00-04:00,ivr,888,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_05_21_n923,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-05-21,2014-05-21,2014-05-21,,date_only,2014-05-22T00:00:00-04:00,ivr,923,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_06_23_n890,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-06-23,2014-06-23,2014-06-24,,date_only,2014-06-25T00:00:00-04:00,ivr,890,extracted,Toronto voters age 18+; Forum reports the poll as a public service. Methodology prints June 23th.
forum_city_2014_07_02_n1182,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-07-02,2014-07-02,2014-07-02,,date_only,2014-07-03T00:00:00-04:00,ivr,1182,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_07_21_n1063,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-07-21,2014-07-21,2014-07-21,,date_only,2014-07-22T00:00:00-04:00,ivr,1063,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_08_05_06_n1268,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-08-05,2014-08-06,2014-08-06,,date_only,2014-08-07T00:00:00-04:00,ivr,1268,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_08_25_26_n1945,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-08-25,2014-08-26,2014-08-26,,date_only,2014-08-27T00:00:00-04:00,ivr,1945,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_09_08_n1069,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-09-08,2014-09-08,2014-09-08,,date_only,2014-09-09T00:00:00-04:00,ivr,1069,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_09_12_n1228,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-09-12,2014-09-12,2014-09-12,,date_only,2014-09-13T00:00:00-04:00,ivr,1228,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_09_22_n1164,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-09-22,2014-09-22,2014-09-22,,date_only,2014-09-30T00:00:00-04:00,ivr,1164,extracted,Toronto voters age 18+; Forum reports the poll as a public service. The current-field ballot survives only in the September 29 first-party trend table; the unified respondent-sample bundle therefore uses September 30 as its conservative evidence-availability boundary.
forum_city_2014_09_29_n1202,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-09-29,2014-09-29,2014-09-29,,date_only,2014-09-30T00:00:00-04:00,ivr,1202,extracted,"Toronto voters age 18+; Forum reports the poll as a public service. The published ballot base is 1,167."
forum_city_2014_10_06_n1218,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-10-06,2014-10-06,2014-10-06,,date_only,2014-10-07T00:00:00-04:00,ivr,1218,extracted,Toronto voters age 18+; Forum reports the poll as a public service.
forum_city_2014_10_15_n1241,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-10-15,2014-10-15,2014-10-15,,date_only,2014-10-16T00:00:00-04:00,ivr,1241,extracted,Toronto voters age 18+; Forum reports the poll as a public service. Release and methodology say October 15; the trend table says October 14.
forum_city_2014_10_20_n852,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-10-20,2014-10-20,2014-10-21,,date_only,2014-10-22T00:00:00-04:00,ivr,852,extracted,Toronto voters absolutely certain to vote or already voted; Forum reports the poll as a public service.
forum_city_2014_10_25_n986,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-10-25,2014-10-25,2014-10-26,,date_only,2014-10-27T00:00:00-04:00,ivr,986,extracted,Toronto voters absolutely certain to vote or already voted; Forum reports the poll as a public service.
forum_city_2018_07_27_n1328,toronto_2018,Forum Research,Forum Research Inc.,citywide,toronto,2018-07-27,2018-07-27,2018-07-27,,date_only,2018-07-28T00:00:00-04:00,ivr,1328,extracted,"Toronto voters; Forum reports the poll as a public service. Date is inferred from archived filename, release content and current trend row; source boilerplate incorrectly says January 27 and 2017."
forum_city_2018_08_27_n1242,toronto_2018,Forum Research,Forum Research Inc.,citywide,toronto,2018-08-27,2018-08-27,2018-08-28,,date_only,2018-08-29T00:00:00-04:00,ivr,1242,extracted,Toronto voters; Forum reports the poll as a public service.
forum_city_2018_09_06_n811,toronto_2018,Forum Research,Forum Research Inc.,citywide,toronto,2018-09-06,2018-09-06,2018-09-07,,date_only,2018-09-08T00:00:00-04:00,ivr,811,extracted,"Toronto voters; Forum reports the poll as a public service. Year is inferred from release date, archived filename and current trend row; methodology incorrectly says 2017."
forum_city_2018_09_20_24_n944,toronto_2018,Forum Research,Forum Research Inc.,citywide,toronto,2018-09-20,2018-09-24,2018-09-25,,date_only,2018-09-26T00:00:00-04:00,ivr,944,extracted,Toronto voters; Forum reports the poll as a public service.
forum_city_2018_10_03_05_n987,toronto_2018,Forum Research,Forum Research Inc.,citywide,toronto,2018-10-03,2018-10-05,2018-10-09,,date_only,2018-10-10T00:00:00-04:00,ivr,987,extracted,Toronto voters; Forum reports the poll as a public service. A separate social-housing release uses the same respondent sample.
forum_city_2018_10_09_10_n1206,toronto_2018,Forum Research,Forum Research Inc.,citywide,toronto,2018-10-09,2018-10-10,2018-10-15,,date_only,2018-10-16T00:00:00-04:00,ivr,1206,extracted,Toronto voters; Forum reports the poll as a public service.
forum_city_2014_02_24_n1310,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-02-24,2014-02-24,2014-02-25,,date_only,2014-02-26T00:00:00-05:00,ivr,1310,extracted,"Toronto voters age 18+; Forum reports the poll as a public service. Fieldwork taken the day after John Tory announced his candidacy; the release is dated February 25, 2014."
forum_city_2013_08_29_n848,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-08-29,2013-08-29,2013-08-29,,date_only,2013-08-30T00:00:00-04:00,ivr,848,extracted,Toronto voters age 18+.
forum_city_2014_01_22_n1063,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-01-22,2014-01-22,2014-01-22,,date_only,2014-01-23T00:00:00-05:00,ivr,1063,extracted,Toronto voters age 18+.
forum_city_2014_03_27_n634,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-03-27,2014-03-27,2014-03-27,,date_only,2014-03-28T00:00:00-04:00,ivr,634,extracted,Toronto voters age 18+.
forum_city_2013_07_29_n1368,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-07-29,2013-07-29,2013-07-30,,date_only,2013-07-31T00:00:00-04:00,ivr,1368,extracted,Toronto voters age 18+.
forum_city_2013_11_04_n1393,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-11-04,2013-11-04,2013-11-04,,date_only,2013-11-05T00:00:00-05:00,ivr,1393,extracted,Toronto voters age 18+.
forum_city_2013_09_22_n1082,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-09-21,2013-09-22,2013-09-23,,date_only,2013-09-24T00:00:00-04:00,ivr,1082,extracted,Toronto voters age 18+.
forum_city_2013_10_31_n1032,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-10-31,2013-10-31,2013-10-31,,date_only,2013-11-01T00:00:00-04:00,ivr,1032,extracted,Toronto voters age 18+.
forum_city_2014_03_13_n1271,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2014-03-13,2014-03-13,2014-03-14,,date_only,2014-03-15T00:00:00-04:00,ivr,1271,extracted,Toronto voters age 18+.
forum_city_2013_10_29_n1093,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-10-29,2013-10-29,2013-10-30,,date_only,2013-10-31T00:00:00-04:00,ivr,1093,extracted,Toronto voters age 18+.
forum_city_2013_10_30_n1041,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-10-30,2013-10-30,2013-10-30,,date_only,2013-10-31T00:00:00-04:00,ivr,1041,extracted,Toronto voters age 18+.
forum_city_2013_11_06_n1157,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-11-06,2013-11-06,2013-11-06,,date_only,2013-11-07T00:00:00-05:00,ivr,1157,extracted,Toronto voters age 18+.
forum_city_2013_01_25_n1099,toronto_2014,Forum Research,Forum Research Inc.,citywide,toronto,2013-01-25,2013-01-25,2013-01-26,,date_only,2013-01-27T00:00:00-05:00,ivr,1099,extracted,Toronto voters age 18+.
mainstreet_city_2014_09_12_n1054,toronto_2014,Mainstreet Research,,citywide,toronto,2014-09-12,2014-09-12,2014-09-13,,date_only,2014-09-14T00:00:00-04:00,ivr,1054,extracted,Toronto voters age 18+.
mainstreet_city_2014_09_21_n2469,toronto_2014,Mainstreet Research,,citywide,toronto,2014-09-21,2014-09-21,2014-09-22,,date_only,2014-09-23T00:00:00-04:00,ivr,2469,extracted,Toronto voters age 18+.
mainstreet_city_2014_09_28_n2409,toronto_2014,Mainstreet Research,,citywide,toronto,2014-09-28,2014-09-28,2014-09-29,,date_only,2014-09-30T00:00:00-04:00,ivr,2409,extracted,Toronto voters age 18+.
mainstreet_city_2014_10_05_n2379,toronto_2014,Mainstreet Research,,citywide,toronto,2014-10-05,2014-10-05,2014-10-06,,date_only,2014-10-07T00:00:00-04:00,ivr,2379,extracted,Toronto voters age 18+.
mainstreet_city_2014_10_23_n3569,toronto_2014,Mainstreet Research,,citywide,toronto,2014-10-23,2014-10-23,2014-10-24,,date_only,2014-10-25T00:00:00-04:00,ivr,3569,extracted,Toronto voters age 18+.
mainstreet_city_2018_09_16_n802,toronto_2018,Mainstreet Research,,citywide,toronto,2018-09-15,2018-09-16,2018-09-18,,date_only,2018-09-19T00:00:00-04:00,ivr,802,extracted,Toronto voters age 18+.
mainstreet_city_2018_09_25_n966,toronto_2018,Mainstreet Research,,citywide,toronto,2018-09-24,2018-09-25,2018-09-26,,date_only,2018-09-27T00:00:00-04:00,ivr,966,extracted,Toronto voters age 18+.
mainstreet_city_2014_10_16_n2265,toronto_2014,Mainstreet Research,,citywide,toronto,2014-10-16,2014-10-16,2014-10-17,,date_only,2014-10-18T00:00:00-04:00,ivr,2265,extracted,Toronto voters age 18+.
nanos_city_2014_08_31_n1000,toronto_2014,Nanos Research,,citywide,toronto,2014-08-27,2014-08-31,2014-09-01,,date_only,2014-09-02T00:00:00-04:00,live-telephone,1000,extracted,Toronto voters age 18+.
