source_document_id,document_role,publisher_url,retrieval_url,retrieval_status,retrieved_at,media_type,sha256,local_path,byte_size,page_count,sheet_count,text_layer_status,visual_qa_status,access_class,redistribution_status,reuse_terms_url,notes
viewpoints_2023-06-15_19_full,tables,https://viewpoints.ca/wp-content/uploads/2023/06/Toronto-Mayoral-By-Election-Marginals-Tracking-Report-20230622.pdf,https://viewpoints.ca/wp-content/uploads/2023/06/Toronto-Mayoral-By-Election-Marginals-Tracking-Report-20230622.pdf,retrieved,2026-08-17T16:08:37Z,application/pdf,ab75fd2d30f4adcdf3ee8f1b0182bea238496a21845f1eb4b702735ec0b75e8c,data/source_documents/pilot_historical/viewpoints_2023-06-15_19_full.pdf,94424,2,,present,passed,public,unknown,,Complete first-party weighted-marginals PDF. Both pages were previously rendered and visually inspected for the pilot. No affirmative redistribution licence was observed.
dart_2018_10_12_15_factum,release,http://dartincom.ca/wp-content/uploads/2018/10/Sun-Toronto-Election-Factum-1-Oct-2018.pdf,https://web.archive.org/web/20181023234340id_/http://dartincom.ca/wp-content/uploads/2018/10/Sun-Toronto-Election-Factum-1-Oct-2018.pdf,retrieved,2026-08-17T23:51:00Z,application/pdf,0c927c3dde3e8d12e300038fcd0f3ed0fb4dfb97cfa9f7928f86de06f1b7460a,data/source_documents/historical_mayoral/public_wave_2018_2023/dart_2018_factum.pdf,217873,5,,present,passed,public,unknown,,Complete five-page archived-original factum. All physical pages rendered and visually inspected. It publishes a source-grade head-to-head topline but not the detailed table or the 11-point remainder. No affirmative redistribution licence was observed.
probit_2018_08_20_09_05_all_chart,tables,https://x.com/ProbitInc/status/1038148223423184896,https://pbs.twimg.com/media/Dmg-TpGXcAU_j3-.jpg:large,retrieved,2026-08-17T23:51:00Z,image/jpeg,4d420c07fa1713ae74c96757cc1740d79be36fadbf2227bc6091fea7737a34a4,data/source_documents/historical_mayoral/public_wave_2018_2023/probit_2018_all_voters.jpg,24537,,,not_applicable,passed,public,unknown,,Original 533x524 image attached to the pollster's first-party post. Visually inspected at native resolution. The chart is source-grade but is not a questionnaire or table book. No affirmative redistribution licence was observed.
probit_2018_08_20_09_05_decided_chart,tables,https://x.com/ProbitInc/status/1038148223423184896,https://pbs.twimg.com/media/Dmg-TobW4AEnYm2.jpg:large,retrieved,2026-08-17T23:51:00Z,image/jpeg,56aae6d80ba137a504b6f7420afbfbbab13dbb495b239b8f2981134d991714d4,data/source_documents/historical_mayoral/public_wave_2018_2023/probit_2018_decided.jpg,26691,,,not_applicable,passed,public,unknown,,Original 492x495 image attached to the pollster's first-party post. Visually inspected at native resolution. The chart is source-grade but is not a questionnaire or table book. No affirmative redistribution licence was observed.
viewpoints_2023_06_01_02_marginals,tables,https://www.viewpoints.ca/2023/06/chows-lead-grows-in-new-viewpoints-poll/,https://www.viewpoints.ca/wp-content/uploads/2023/06/Toronto-Mayoral-By-Election-Marginals-Report-20230608-1.pdf,retrieved,2026-08-17T23:51:00Z,application/pdf,8e280ec08e8b41076759b6783a6dd4d9ee286a798de74c52ef0bae82671db044,data/source_documents/historical_mayoral/public_wave_2018_2023/viewpoints_2023_06_01_02.pdf,87081,1,,present,passed,public,unknown,,Complete one-page first-party marginals report. Rendered and visually inspected. It contains both June 2 and May 2 comparison columns; only the June 2 sample is extracted here. No affirmative redistribution licence was observed.
viewpoints_2023_06_08_article,article,https://www.viewpoints.ca/2023/06/chows-lead-grows-in-new-viewpoints-poll/,https://www.viewpoints.ca/2023/06/chows-lead-grows-in-new-viewpoints-poll/,retrieved,2026-08-17T23:56:00Z,text/html,6bd8966309d96f576cde3a4d4b796bcb42412df3f99447a6fad9dcf04b89ab53,data/source_documents/historical_mayoral/public_wave_2018_2023/viewpoints_2023_06_08_article.html,302568,,,present,not_applicable,public,unknown,,First-party release establishes the June 8 publication date and the fieldwork period population mode turnout-intent screen and sponsor. No affirmative redistribution licence was observed.
ipsos_2023_06_09_13_tables,tables,https://www.ipsos.com/sites/default/files/ct/news/documents/2023-06/Toronto%20Mayoral%20Race%20Tables%202.pdf,https://www.ipsos.com/sites/default/files/ct/news/documents/2023-06/Toronto%20Mayoral%20Race%20Tables%202.pdf,retrieved,2026-08-17T23:51:00Z,application/pdf,d789caaa787035ff35e4489223c6b1c9ccf331a0adbf6167b6875a10467b5e1a,data/source_documents/historical_mayoral/public_wave_2018_2023/ipsos_2023_06_tables.pdf,1672113,23,,present,passed,public,unknown,,First-party table extract contains physical pages corresponding to printed pages 3-25 of 33. Every physical page was rendered and visually inspected. It is complete for the mayoral vote-intention readings extracted here but is not the entire internally numbered table book. No affirmative redistribution licence was observed.
ipsos_2023_06_09_13_factum,release,https://www.ipsos.com/sites/default/files/ct/news/documents/2023-06/22-003004-01%20GN%20Media%20Release%20%283%29.pdf,https://www.ipsos.com/sites/default/files/ct/news/documents/2023-06/22-003004-01%20GN%20Media%20Release%20%283%29.pdf,retrieved,2026-08-17T23:56:00Z,application/pdf,642d9caf77be2f33e42e0cf6c04e0a91b5f1bd3d6f58b1e95f763780ae1deef5,data/source_documents/historical_mayoral/public_wave_2018_2023/ipsos_2023_06_factum.pdf,1318733,7,,present,passed,public,prohibited,,Complete first-party factum. Every page was rendered and visually inspected. It establishes the June 19 publication date sponsor fieldwork population mode and achieved sample. The artifact expressly says it may not be reproduced without Ipsos's prior written consent; retained only in the gitignored internal audit corpus.
forum_2022_oct11_release,release,https://poll.forumresearch.com/data/d8c2ba39-b222-4066-a9c4-5b2421fb82abGeneral%20Mayoral%20News%20Release%20Final.pdf,https://web.archive.org/web/20221013194533id_/https://poll.forumresearch.com/data/d8c2ba39-b222-4066-a9c4-5b2421fb82abGeneral%20Mayoral%20News%20Release%20Final.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,8a9c750df3ffd4993a550558353c03e29b8007200c584c242339747a64139f55,data/source_documents/historical_mayoral/forum_2022_2023/forum_2022_10_08_release.pdf,398487,4,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_feb14_release,release,http://poll.forumresearch.com/data/d946c7ad-28c3-463c-af29-247201cdf98fTorontonians%20Split%20on%20John%20Tory%20Resignation%20Feb%2014%202023.pdf,https://web.archive.org/web/20230307095415id_/http://poll.forumresearch.com/data/d946c7ad-28c3-463c-af29-247201cdf98fTorontonians%20Split%20on%20John%20Tory%20Resignation%20Feb%2014%202023.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,b2ed95e9a908a9f0674a12fccd75ac3abfd4b9066b8024d91b61d596cf8b1cc5,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_02_14_release.pdf,404475,4,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_mar24_release,release,http://poll.forumresearch.com/data/e8944ec2-a76a-48bb-b35d-94f13a395a1cChow%20and%20Saunders%20Lead%20Potential%20Mayor%20Race%20March%2024%202023.pdf,https://web.archive.org/web/20230327175538id_/http://poll.forumresearch.com/data/e8944ec2-a76a-48bb-b35d-94f13a395a1cChow%20and%20Saunders%20Lead%20Potential%20Mayor%20Race%20March%2024%202023.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,3d6df6ca259734faf48db5630aa4e8107203cf3ebfd7190d30c52085b5803727,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_03_23_release.pdf,501836,9,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_apr27_release,release,https://poll.forumresearch.com/data/1172cde0-151b-4e99-a2a6-7cba7c47a0a0Chow%20pulls%20ahead%20in%20mayor%20race%20April%2027%202023.pdf,https://web.archive.org/web/20230517052033id_/https://poll.forumresearch.com/data/1172cde0-151b-4e99-a2a6-7cba7c47a0a0Chow%20pulls%20ahead%20in%20mayor%20race%20April%2027%202023.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,2b423eff5500c49e4ebaba2c6e5934589044ff2add720a722713d70e5a2725bc,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_04_26_release.pdf,482319,8,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_apr27_tory_companion,release,https://poll.forumresearch.com/data/b00a589b-f969-44a4-8d3a-a803d9eb62f3Tory%20still%20top%20choice%20for%20mayor%20April%2027%202023.pdf,https://web.archive.org/web/20230606103937id_/https://poll.forumresearch.com/data/b00a589b-f969-44a4-8d3a-a803d9eb62f3Tory%20still%20top%20choice%20for%20mayor%20April%2027%202023.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,71a096e4acada5bd0adf291145000f4be3bf5778d6fe68ab7e0386f69381d856,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_04_26_tory_companion.pdf,396403,4,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_may08_release,release,https://poll.forumresearch.com/data/9eb54fbe-7a67-41c5-a55e-de9439827d48Chow%20grows%20lead%20in%20mayor%20race%20May%208.pdf,https://web.archive.org/web/20230511051029id_/https://poll.forumresearch.com/data/9eb54fbe-7a67-41c5-a55e-de9439827d48Chow%20grows%20lead%20in%20mayor%20race%20May%208.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,800c8caf66d73a0b48099190bf25ba8852023debab1fdd160f69a1c88b0da84d,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_05_07_release.pdf,259271,6,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_may08_tory_companion,release,https://poll.forumresearch.com/data/ece1373a-31ce-4753-b1cb-7bbcfb1f261bTory%20remains%20top%20choice%20for%20mayor%20May%208.pdf,https://web.archive.org/web/20230518162133id_/https://poll.forumresearch.com/data/ece1373a-31ce-4753-b1cb-7bbcfb1f261bTory%20remains%20top%20choice%20for%20mayor%20May%208.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,13f62514834df00f692042c1cd2f0882c83d78be08a06cb112eecd30784f2387,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_05_07_tory_companion.pdf,387678,3,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_may15_release,release,https://poll.forumresearch.com/data/bd46aa03-810b-450a-a958-5e01830e3c72Chow%20remains%20first%20choice%20in%20mayor%20race%20May%2015%202023.pdf,https://web.archive.org/web/20230517014815id_/https://poll.forumresearch.com/data/bd46aa03-810b-450a-a958-5e01830e3c72Chow%20remains%20first%20choice%20in%20mayor%20race%20May%2015%202023.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,d86945ac07f38d47b77c024527d79d34f557abb6efda2a312d0f2e1795b10a8f,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_05_14_release.pdf,494267,6,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_may21_release,release,https://poll.forumresearch.com/data/e8299849-ea40-44a7-bcf0-65ae5d08b26cChow%20holds%20strong%20as%20front%20runner%20in%20mayor%20race%20May%2021%202023.pdf,https://web.archive.org/web/20250226214239id_/https://poll.forumresearch.com/data/e8299849-ea40-44a7-bcf0-65ae5d08b26cChow%20holds%20strong%20as%20front%20runner%20in%20mayor%20race%20May%2021%202023.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,70a5e209dffab005a6c182c671f6d4872b27aaae2e69bf5542080f75c8a4fd5f,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_05_20_release.pdf,500370,6,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_may28_release,release,https://poll.forumresearch.com/data/98079d92-72c1-454b-86a4-8997b6eb0056Chow%E2%80%99s%20lead%20unchanged%20in%20latest%20mayoral%20poll.pdf,https://web.archive.org/web/20230530033358id_/https://poll.forumresearch.com/data/98079d92-72c1-454b-86a4-8997b6eb0056Chow%E2%80%99s%20lead%20unchanged%20in%20latest%20mayoral%20poll.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,b6b41716a5472bc7e75b8439860126799790b7d9bd42279f97a83ea80256d35d,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_05_27_release.pdf,538886,7,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_jun04_release,release,https://poll.forumresearch.com/data/972939ff-a147-412d-8d5c-b3430dc4210eChow%20strengthens%20lead%20in%20mayor%20race%20June%204%202023.pdf,https://web.archive.org/web/20230726065608id_/https://poll.forumresearch.com/data/972939ff-a147-412d-8d5c-b3430dc4210eChow%20strengthens%20lead%20in%20mayor%20race%20June%204%202023.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,2a6a42a7da826997984ad1709570304823c3393fdc0d63679547c2153ee13046,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_06_02_release.pdf,560417,10,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_jun11_release,release,"http://poll.forumresearch.com/data/1b545e66-8ba5-4da8-885d-14d47b08c744Fresh%20gains%20for%20Bailao,%20Saunders%20and%20Furey%20June%2011%202023.pdf","https://web.archive.org/web/20230612151823id_/http://poll.forumresearch.com/data/1b545e66-8ba5-4da8-885d-14d47b08c744Fresh%20gains%20for%20Bailao,%20Saunders%20and%20Furey%20June%2011%202023.pdf",retrieved,2026-08-18T00:41:49Z,application/pdf,c83a8abcd8f109079dfd7f0569f540714f805297e50d1fcf10fff129e4fdcbb2,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_06_09_release.pdf,561841,10,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
forum_2023_jun24_release,release,https://poll.forumresearch.com/data/cb12c41a-8453-40e6-90f1-7558d098f7e1Chow%20lead%20narrowing%20in%20final%20days%20of%20campaign_June%2024%202023.pdf,https://web.archive.org/web/20230726065606id_/https://poll.forumresearch.com/data/cb12c41a-8453-40e6-90f1-7558d098f7e1Chow%20lead%20narrowing%20in%20final%20days%20of%20campaign_June%2024%202023.pdf,retrieved,2026-08-18T00:41:49Z,application/pdf,6f7914b3c9123becf99478e38073d1a355992ea0b2c1c50d694997b64d6abfbb,data/source_documents/historical_mayoral/forum_2022_2023/forum_2023_06_23_release.pdf,568119,10,,present,passed,public,unknown,,"First-party Forum PDF recovered through an archived-original replay. All pages were rendered and visually inspected; text layer is present and readable. Public availability is not an affirmative reuse licence, so redistribution status remains unknown."
liaison_2023_04_21_22_release,release,https://press.liaisonstrategies.ca/chow-leads-61-say-crime-has-increased/,https://press.liaisonstrategies.ca/chow-leads-61-say-crime-has-increased/,retrieved,2026-08-18T00:40:28Z,text/html,0e13f3e00ef6ecce6139baa403e997e151436f10b7cab0cfa16a769986b1e48c,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-04-24_release.html,15631,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
liaison_2023_04_28_29_release,release,https://press.liaisonstrategies.ca/chow-gains-but-support-for-all-candidates-is-soft/,https://press.liaisonstrategies.ca/chow-gains-but-support-for-all-candidates-is-soft/,retrieved,2026-08-18T00:40:28Z,text/html,a0612fe5ba2e5e5c84033d525ca4cc729ee327c4b7a67cfca7571056201d4789,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-05-01_release.html,15783,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
liaison_2023_05_05_06_release,release,https://press.liaisonstrategies.ca/chow-increases-margin-as-more-voters-make-decisions/,https://press.liaisonstrategies.ca/chow-increases-margin-as-more-voters-make-decisions/,retrieved,2026-08-18T00:40:28Z,text/html,cb38a98e867bf32062667f330ce03ca0198e7c8dd20e247381a68069cf6423b7,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-05-08_release.html,15359,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
liaison_2023_05_12_13_release,release,https://press.liaisonstrategies.ca/chow-continues-steady-climb/,https://press.liaisonstrategies.ca/chow-continues-steady-climb/,retrieved,2026-08-18T00:40:28Z,text/html,81cd19fe2e9611182747fcf2b35b43b630aeb8677d01aa493b620447d69577e4,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-05-15_release.html,15699,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
liaison_2023_05_17_18_release,release,https://press.liaisonstrategies.ca/chow-leads-saunders-second-hunter-third/,https://press.liaisonstrategies.ca/chow-leads-saunders-second-hunter-third/,retrieved,2026-08-18T00:40:28Z,text/html,50b1e5feeb5e90675c37175df65282553d8f821f36bf34f6159783794d8f0470,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-05-20_release.html,15472,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
liaison_2023_05_26_27_release,release,https://press.liaisonstrategies.ca/chow-continues-lead-as-saunders-hunter-tied-at-second/,https://press.liaisonstrategies.ca/chow-continues-lead-as-saunders-hunter-tied-at-second/,retrieved,2026-08-18T00:40:28Z,text/html,d8c7c89eaa96fc801f85f9c762a9a4b29e008ddcdf39380402792d6055281d96,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-05-29_release.html,15688,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
liaison_2023_06_03_04_release,release,https://press.liaisonstrategies.ca/chow-holds-21-point-lead-over-saunders/,https://press.liaisonstrategies.ca/chow-holds-21-point-lead-over-saunders/,retrieved,2026-08-18T00:40:28Z,text/html,c09f5e59a84fb4aaa4c163e59b80dc4990dfad8f101a6f68fd752e107f8f204a,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-06-06_release.html,15329,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
liaison_2023_06_10_11_release,release,https://press.liaisonstrategies.ca/untitled/,https://press.liaisonstrategies.ca/untitled/,retrieved,2026-08-18T00:40:28Z,text/html,0019260e10dc9ae90af9fffa199bf3aec0f653c204edac5fad406c4b67ba544d,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-06-13_release.html,15927,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
liaison_2023_06_12_13_release,release,https://press.liaisonstrategies.ca/june-15/,https://press.liaisonstrategies.ca/june-15/,retrieved,2026-08-18T00:40:28Z,text/html,d37ec15192423d0713ab7bb043be5c519a3d53cd41d376defc448c892481cf26,data/source_documents/historical_mayoral/liaison_2023/liaison_2023-06-15_release.html,16864,,,present,passed,public,unknown,,"Public first-party HTML release, rendered in a live browser and visually inspected. It corroborates publication, sponsor, fieldwork, mode, parent sample size, and the two topline summaries. The separately linked detailed public viewer controls canonical reading values and semantics where the two sources differ. No affirmative redistribution licence was observed."
